H_A,Minutes,PointsPerMinute,ProjTotal,AvgPointsPerMinute,BackToBack,ThreeOfFour,Back2BackTravel,DvP Pos,Last5DvP,Last5DvPRank
0,30.81666667,1.346673878,107.25,0.973909132,0,0,0,SG,0.711442523,5
0,35.51666667,1.787893008,107.25,1.103447625,0,0,0,PG,1.056059144,18
0,32.1,0.903426791,97.5,0.979946537,0,0,0,SF,0.825967644,17
0,36.18333333,1.25748503,117.5,1.414000598,0,0,0,SF,0.965301057,28
0,33.3,1.066066066,117.5,0.924967344,0,0,0,SG,0.820714718,14
0,30.53333333,1.219978166,107.25,0.762192758,0,0,0,PF,1.206939977,30
0,22.6,0.752212389,107.25,0.714232059,0,0,0,SF,0.851841405,22
0,28.85,0.571923744,97.5,0.855458227,0,0,0,C,1.135110429,19
0,29.75,0.941176471,108.75,1.029443515,0,0,0,SF,0.712808242,5
0,22.45,0.824053452,100.75,0.900584402,0,0,0,PF,0.999856764,21
0,35.43333333,1.340545626,117.5,1.440082159,0,0,0,PG,0.987733996,14
0,37.9,0.837730871,97.5,0.880857016,0,0,0,SF,0.825967644,17
0,36.63333333,0.661965423,101.25,0.828420002,0,0,0,PF,0.88388829,11
0,20.75,1.120481928,108.75,0.754647929,0,0,0,C,0.947495796,5
0,29.35,1.124361158,101.25,1.231554144,0,0,0,SG,0.843314849,13
0,24.41666667,0.80887372,100.75,1.002916327,0,0,0,C,1.182617943,26
0,19.13333333,0.548780488,117.5,1.041548997,0,0,0,C,1.091544287,21
0,29.85,1.432160804,98,1.026381617,0,0,0,C,1.015297042,12
0,34.63333333,0.541385948,107.5,0.827877704,0,0,0,PF,0.931856553,13
0,16.63333333,0.916833667,100,0.810631774,0,0,0,SG,0.938228256,25
0,41.4,1.473429952,115,1.475438382,0,0,0,PF,1.112620774,26
0,16.48333333,1.046511628,98,0.839830287,0,0,0,C,1.015297042,12
0,27.26666667,0.605134474,109,0.810029292,0,0,0,PG,0.967178002,10
0,31.18333333,0.970069482,106.5,0.901366966,0,0,0,C,1.18157464,26
0,29.51666667,0.906267645,109,1.218442248,0,0,0,PF,0.83276139,6
0,31.81666667,0.809324254,107.5,0.958049954,0,0,0,SG,0.833811609,12
0,31.25,1.24,111,1.247357028,0,0,0,C,1.049186701,18
0,34.9,0.64469914,103.5,0.719274998,1,1,1,SG,0.740271237,8
0,40.6,1.133004926,107.5,1.24711655,0,0,0,PG,1.020371294,15
0,34.3,0.801749271,109,0.833436825,0,0,0,SF,0.909063263,26
0,24.93333333,0.731951872,115,0.628876292,0,0,0,PF,1.112620774,26
0,26.81666667,0.922933499,109,1.14883807,0,0,0,C,1.028882474,14
0,38.75,1.161290323,115,1.538590475,0,0,0,PF,1.112620774,26
0,25.5,0.784313725,99,0.944105724,0,0,0,PF,0.884868385,11
0,38.78333333,1.269875376,106.5,0.814897559,0,0,0,SG,0.938026565,24
0,23.91666667,1.139372822,103.5,1.243727174,1,0,1,C,0.985966289,11
0,36.85,0.827679783,111,0.874013527,0,0,0,SG,1.067164589,29
0,31.9,0.736677116,115,0.691762562,0,0,0,SG,0.711698669,5
0,39.13333333,0.830494037,106.5,0.992119548,0,0,0,PG,1.338093715,29
0,24.55,0.67209776,100,0.642288746,0,0,0,SF,0.811551754,15
0,38.45,1.365409623,111,1.574841459,0,0,0,SG,1.067164589,29
0,23.65,0.644820296,106.5,0.960963366,0,0,0,PF,0.97086435,17
0,22.4,0.580357143,100,0.737823866,0,0,0,PF,0.80632755,6
0,32.46666667,0.854722793,103.5,0.810751576,1,1,1,PG,0.913534022,9
0,30.16666667,0.91160221,98,0.832295927,0,0,0,SF,0.73585779,8
0,35.3,0.842776204,98,0.849486209,0,0,0,SF,0.73585779,8
0,32.9,0.759878419,99,0.852897136,0,0,0,SF,0.773359001,12
0,32.41666667,0.470437018,106.5,0.796114079,0,0,0,SF,0.871531425,23
0,34.86666667,0.889101338,115,1.031801487,0,0,0,PG,1.186637201,27
0,26.36666667,0.720606827,107.5,1.203301513,0,0,0,C,0.915591927,3
