Entry ID,Contest Name,Contest ID,Entry Fee,P,P,P,P,P,P,,Instructions
1364941796,TEN $40K Major Kickoff [$10K to 1st] (AUS Day 1),67832530,$10,,,,,,,,1. Column A lists all of your contest entries for this draftgroup
1367310049,TEN $2K Ace (AUS Day 1),67927785,$1,Belinda Bencic (11947479),Tomas Berdych (11947439),Yoshihito Nishioka (11947455),Andrea Petkovic (11947481),Jan-Lennard Struff (11947461),Jordan Thompson (11947453),,P,Kiki Bertens (11947474),Kiki Bertens,11947474,P,9600,Bertens@Riske 01/13/2019 10:15PM ET,Bertens,55.81
1367310050,TEN $2K Ace (AUS Day 1),67927785,$1,Belinda Bencic (11947479),Tomas Berdych (11947439),Yoshihito Nishioka (11947455),Andrea Petkovic (11947481),Jan-Lennard Struff (11947461),Jordan Thompson (11947453),,P,Denis Kudla (11947440),Denis Kudla,11947440,P,9500,Kudla@Polmans 01/13/2019 10:15PM ET,Kudla,30.7
1367310051,TEN $2K Ace (AUS Day 1),67927785,$1,Belinda Bencic (11947479),Tomas Berdych (11947439),Yoshihito Nishioka (11947455),Andrea Petkovic (11947481),Jan-Lennard Struff (11947461),Jordan Thompson (11947453),,P,Viktor Troicki (11947443),Viktor Troicki,11947443,P,9400,Carballes Baena@Troicki 01/13/2019 10:15PM ET,Troicki,0
1367310052,TEN $2K Ace (AUS Day 1),67927785,$1,Belinda Bencic (11947479),Tomas Berdych (11947439),Yoshihito Nishioka (11947455),Andrea Petkovic (11947481),Jan-Lennard Struff (11947461),Jordan Thompson (11947453),,P,Vera Lapko (11947483),Vera Lapko,11947483,P,9300,Larsson@Lapko 01/14/2019 12:00AM ET,Lapko,35.35
1367310053,TEN $2K Ace (AUS Day 1),67927785,$1,Belinda Bencic (11947479),Tomas Berdych (11947439),Yoshihito Nishioka (11947455),Andrea Petkovic (11947481),Jan-Lennard Struff (11947461),Jordan Thompson (11947453),,P,Yafan Wang (11947470),Yafan Wang,11947470,P,9200,Wang@Perez 01/13/2019 10:15PM ET,Wang,50.54
1367310054,TEN $2K Ace (AUS Day 1),67927785,$1,Belinda Bencic (11947479),Tomas Berdych (11947439),Yoshihito Nishioka (11947455),Andrea Petkovic (11947481),Jan-Lennard Struff (11947461),Jordan Thompson (11947453),,P,Jordan Thompson (11947453),Jordan Thompson,11947453,P,9100,Thompson@Lopez 01/13/2019 11:30PM ET,Thompson,53.89
1367310055,TEN $2K Ace (AUS Day 1),67927785,$1,Belinda Bencic (11947479),Tomas Berdych (11947439),Yoshihito Nishioka (11947455),Andrea Petkovic (11947481),Jan-Lennard Struff (11947461),Jordan Thompson (11947453),,P,Aliaksandra Sasnovich (11947484),Aliaksandra Sasnovich,11947484,P,9000,Sasnovich@Flipkens 01/14/2019 12:00AM ET,Sasnovich,47.27
1367310056,TEN $2K Ace (AUS Day 1),67927785,$1,Belinda Bencic (11947479),Tomas Berdych (11947439),Yoshihito Nishioka (11947455),Andrea Petkovic (11947481),Jan-Lennard Struff (11947461),Jordan Thompson (11947453),,P,Tomas Berdych (11947439),Tomas Berdych,11947439,P,8900,Berdych@Edmund 01/13/2019 10:15PM ET,Berdych,64.28
1367310057,TEN $2K Ace (AUS Day 1),67927785,$1,Belinda Bencic (11947479),Tomas Berdych (11947439),Yoshihito Nishioka (11947455),Andrea Petkovic (11947481),Jan-Lennard Struff (11947461),Jordan Thompson (11947453),,P,Gael Monfils (11947451),Gael Monfils,11947451,P,8700,Dzumhur@Monfils 01/13/2019 11:30PM ET,Monfils,0
1367310058,TEN $2K Ace (AUS Day 1),67927785,$1,Belinda Bencic (11947479),Tomas Berdych (11947439),Yoshihito Nishioka (11947455),Andrea Petkovic (11947481),Jan-Lennard Struff (11947461),Jordan Thompson (11947453),,P,Andrey Rublev (11947436),Andrey Rublev,11947436,P,8600,Mcdonald@Rublev 01/13/2019 10:15PM ET,Rublev,44.8
1367310059,TEN $2K Ace (AUS Day 1),67927785,$1,Belinda Bencic (11947479),Tomas Berdych (11947439),Yoshihito Nishioka (11947455),Andrea Petkovic (11947481),Jan-Lennard Struff (11947461),Jordan Thompson (11947453),,P,Jan-Lennard Struff (11947461),Jan-Lennard Struff,11947461,P,8300,Struff@Ebden 01/14/2019 01:00AM ET,Struff,56.67
1367310060,TEN $2K Ace (AUS Day 1),67927785,$1,Belinda Bencic (11947479),Tomas Berdych (11947439),Yoshihito Nishioka (11947455),Andrea Petkovic (11947481),Jan-Lennard Struff (11947461),Jordan Thompson (11947453),,P,Andrea Petkovic (11947481),Andrea Petkovic,11947481,P,8000,Petkovic@Begu 01/13/2019 11:30PM ET,Petkovic,0
1367310061,TEN $2K Ace (AUS Day 1),67927785,$1,Belinda Bencic (11947479),Tomas Berdych (11947439),Yoshihito Nishioka (11947455),Andrea Petkovic (11947481),Jan-Lennard Struff (11947461),Jordan Thompson (11947453),,P,Yoshihito Nishioka (11947455),Yoshihito Nishioka,11947455,P,7900,Sandgren@Nishioka 01/14/2019 01:00AM ET,Nishioka,52.71
1367310062,TEN $2K Ace (AUS Day 1),67927785,$1,Belinda Bencic (11947479),Tomas Berdych (11947439),Yoshihito Nishioka (11947455),Andrea Petkovic (11947481),Jan-Lennard Struff (11947461),Jordan Thompson (11947453),,P,Belinda Bencic (11947479),Belinda Bencic,11947479,P,7800,Siniakova@Bencic 01/13/2019 11:00PM ET,Bencic,57.24
1367310063,TEN $2K Ace (AUS Day 1),67927785,$1,Belinda Bencic (11947479),Tomas Berdych (11947439),Yoshihito Nishioka (11947455),Andrea Petkovic (11947481),Jan-Lennard Struff (11947461),Jordan Thompson (11947453),,P,Barbora Strycova (11947468),Barbora Strycova,11947468,P,7700,Strycova@Putintseva 01/13/2019 10:15PM ET,Strycova,41.3
1367206334,TEN $500 Quarter Jukebox [Just $0.25!] (AUS Day 1),67927786,$0.25,Belinda Bencic (11947479),Tomas Berdych (11947439),Yoshihito Nishioka (11947455),Andrea Petkovic (11947481),Jan-Lennard Struff (11947461),Jordan Thompson (11947453),,P,Cameron Norrie (11947457),Cameron Norrie,11947457,P,7600,Fritz@Norrie 01/14/2019 01:00AM ET,Norrie,60.79
1367310025,TEN $500 Quarter Jukebox [Just $0.25!] (AUS Day 1),67927786,$0.25,Belinda Bencic (11947479),Tomas Berdych (11947439),Yoshihito Nishioka (11947455),Andrea Petkovic (11947481),Jan-Lennard Struff (11947461),Jordan Thompson (11947453),,P,Andreas Seppi (11947459),Andreas Seppi,11947459,P,7500,Johnson@Seppi 01/14/2019 01:00AM ET,Seppi,50
1367310026,TEN $500 Quarter Jukebox [Just $0.25!] (AUS Day 1),67927786,$0.25,Belinda Bencic (11947479),Tomas Berdych (11947439),Yoshihito Nishioka (11947455),Andrea Petkovic (11947481),Jan-Lennard Struff (11947461),Jordan Thompson (11947453),,P,Steve Johnson (11947458),Steve Johnson,11947458,P,7300,Johnson@Seppi 01/14/2019 01:00AM ET,Johnson,16.35
1367310027,TEN $500 Quarter Jukebox [Just $0.25!] (AUS Day 1),67927786,$0.25,Belinda Bencic (11947479),Tomas Berdych (11947439),Yoshihito Nishioka (11947455),Andrea Petkovic (11947481),Jan-Lennard Struff (11947461),Jordan Thompson (11947453),,P,Yulia Putintseva (11947469),Yulia Putintseva,11947469,P,7200,Strycova@Putintseva 01/13/2019 10:15PM ET,Putintseva,46.44
1367310028,TEN $500 Quarter Jukebox [Just $0.25!] (AUS Day 1),67927786,$0.25,Belinda Bencic (11947479),Tomas Berdych (11947439),Yoshihito Nishioka (11947455),Andrea Petkovic (11947481),Jan-Lennard Struff (11947461),Jordan Thompson (11947453),,P,Taylor Fritz (11947456),Taylor Fritz,11947456,P,7100,Fritz@Norrie 01/14/2019 01:00AM ET,Fritz,48.76
1367310029,TEN $500 Quarter Jukebox [Just $0.25!] (AUS Day 1),67927786,$0.25,Belinda Bencic (11947479),Tomas Berdych (11947439),Yoshihito Nishioka (11947455),Andrea Petkovic (11947481),Jan-Lennard Struff (11947461),Jordan Thompson (11947453),,P,Katerina Siniakova (11947478),Katerina Siniakova,11947478,P,7000,Siniakova@Bencic 01/13/2019 11:00PM ET,Siniakova,30.6
1367310030,TEN $500 Quarter Jukebox [Just $0.25!] (AUS Day 1),67927786,$0.25,Belinda Bencic (11947479),Tomas Berdych (11947439),Yoshihito Nishioka (11947455),Andrea Petkovic (11947481),Jan-Lennard Struff (11947461),Jordan Thompson (11947453),,P,Irina-Camelia Begu (11947480),Irina-Camelia Begu,11947480,P,6900,Petkovic@Begu 01/13/2019 11:30PM ET,Begu,46.78
1367310031,TEN $500 Quarter Jukebox [Just $0.25!] (AUS Day 1),67927786,$0.25,Belinda Bencic (11947479),Tomas Berdych (11947439),Yoshihito Nishioka (11947455),Andrea Petkovic (11947481),Jan-Lennard Struff (11947461),Jordan Thompson (11947453),,P,Tennys Sandgren (11947454),Tennys Sandgren,11947454,P,6700,Sandgren@Nishioka 01/14/2019 01:00AM ET,Sandgren,69.66
1367310032,TEN $500 Quarter Jukebox [Just $0.25!] (AUS Day 1),67927786,$0.25,Belinda Bencic (11947479),Tomas Berdych (11947439),Yoshihito Nishioka (11947455),Andrea Petkovic (11947481),Jan-Lennard Struff (11947461),Jordan Thompson (11947453),,P,Matthew Ebden (11947460),Matthew Ebden,11947460,P,6500,Struff@Ebden 01/14/2019 01:00AM ET,Ebden,34.4
1367310033,TEN $500 Quarter Jukebox [Just $0.25!] (AUS Day 1),67927786,$0.25,Belinda Bencic (11947479),Tomas Berdych (11947439),Yoshihito Nishioka (11947455),Andrea Petkovic (11947481),Jan-Lennard Struff (11947461),Jordan Thompson (11947453),,P,Damir Dzumhur (11947450),Damir Dzumhur,11947450,P,6400,Dzumhur@Monfils 01/13/2019 11:30PM ET,Dzumhur,5.5
1367310034,TEN $500 Quarter Jukebox [Just $0.25!] (AUS Day 1),67927786,$0.25,Belinda Bencic (11947479),Tomas Berdych (11947439),Yoshihito Nishioka (11947455),Andrea Petkovic (11947481),Jan-Lennard Struff (11947461),Jordan Thompson (11947453),,P,Kyle Edmund (11947438),Kyle Edmund,11947438,P,6300,Berdych@Edmund 01/13/2019 10:15PM ET,Edmund,24.8
1367310035,TEN $500 Quarter Jukebox [Just $0.25!] (AUS Day 1),67927786,$0.25,Belinda Bencic (11947479),Tomas Berdych (11947439),Yoshihito Nishioka (11947455),Andrea Petkovic (11947481),Jan-Lennard Struff (11947461),Jordan Thompson (11947453),,P,Mackenzie Mcdonald (11947437),Mackenzie Mcdonald,11947437,P,6200,Mcdonald@Rublev 01/13/2019 10:15PM ET,Mcdonald,16.05
1367310036,TEN $500 Quarter Jukebox [Just $0.25!] (AUS Day 1),67927786,$0.25,Belinda Bencic (11947479),Tomas Berdych (11947439),Yoshihito Nishioka (11947455),Andrea Petkovic (11947481),Jan-Lennard Struff (11947461),Jordan Thompson (11947453),,P,Kirsten Flipkens (11947485),Kirsten Flipkens,11947485,P,5900,Sasnovich@Flipkens 01/14/2019 12:00AM ET,Flipkens,56.55
1367310037,TEN $500 Quarter Jukebox [Just $0.25!] (AUS Day 1),67927786,$0.25,Belinda Bencic (11947479),Tomas Berdych (11947439),Yoshihito Nishioka (11947455),Andrea Petkovic (11947481),Jan-Lennard Struff (11947461),Jordan Thompson (11947453),,P,Feliciano Lopez (11947452),Feliciano Lopez,11947452,P,5800,Thompson@Lopez 01/13/2019 11:30PM ET,Lopez,0
1367310038,TEN $500 Quarter Jukebox [Just $0.25!] (AUS Day 1),67927786,$0.25,Belinda Bencic (11947479),Tomas Berdych (11947439),Yoshihito Nishioka (11947455),Andrea Petkovic (11947481),Jan-Lennard Struff (11947461),Jordan Thompson (11947453),,P,Ellen Perez (11947471),Ellen Perez,11947471,P,5700,Wang@Perez 01/13/2019 10:15PM ET,Perez,28.5
1367310039,TEN $500 Quarter Jukebox [Just $0.25!] (AUS Day 1),67927786,$0.25,Belinda Bencic (11947479),Tomas Berdych (11947439),Yoshihito Nishioka (11947455),Andrea Petkovic (11947481),Jan-Lennard Struff (11947461),Jordan Thompson (11947453),,P,Johanna Larsson (11947482),Johanna Larsson,11947482,P,5600,Larsson@Lapko 01/14/2019 12:00AM ET,Larsson,16.32
1367310040,TEN $500 Quarter Jukebox [Just $0.25!] (AUS Day 1),67927786,$0.25,Belinda Bencic (11947479),Tomas Berdych (11947439),Yoshihito Nishioka (11947455),Andrea Petkovic (11947481),Jan-Lennard Struff (11947461),Jordan Thompson (11947453),,P,Roberto Carballes Baena (11947442),Roberto Carballes Baena,11947442,P,5500,Carballes Baena@Troicki 01/13/2019 10:15PM ET,Carballes Baena,14.2
1367310041,TEN $500 Quarter Jukebox [Just $0.25!] (AUS Day 1),67927786,$0.25,Belinda Bencic (11947479),Tomas Berdych (11947439),Yoshihito Nishioka (11947455),Andrea Petkovic (11947481),Jan-Lennard Struff (11947461),Jordan Thompson (11947453),,P,Marc Polmans (11947441),Marc Polmans,11947441,P,5400,Kudla@Polmans 01/13/2019 10:15PM ET,Polmans,0
1367310042,TEN $500 Quarter Jukebox [Just $0.25!] (AUS Day 1),67927786,$0.25,Belinda Bencic (11947479),Tomas Berdych (11947439),Yoshihito Nishioka (11947455),Andrea Petkovic (11947481),Jan-Lennard Struff (11947461),Jordan Thompson (11947453),,P,Alison Riske (11947475),Alison Riske,11947475,P,5300,Bertens@Riske 01/13/2019 10:15PM ET,Riske,63.73
1367310043,TEN $500 Quarter Jukebox [Just $0.25!] (AUS Day 1),67927786,$0.25,Belinda Bencic (11947479),Tomas Berdych (11947439),Yoshihito Nishioka (11947455),Andrea Petkovic (11947481),Jan-Lennard Struff (11947461),Jordan Thompson (11947453),,P,Bernard Tomic (11947465),Bernard Tomic,11947465,P,5200,Tomic@Cilic 01/14/2019 04:15AM ET,Tomic,0
1367310064,TEN $5K Backhand (AUS Day 1),67927791,$3,Belinda Bencic (11947479),Tomas Berdych (11947439),Yoshihito Nishioka (11947455),Andrea Petkovic (11947481),Jan-Lennard Struff (11947461),Jordan Thompson (11947453),,P,Federico Delbonis (11947449),Federico Delbonis,11947449,P,5000,Millman@Delbonis 01/13/2019 11:30PM ET,Delbonis,0
1367310065,TEN $5K Backhand (AUS Day 1),67927791,$3,Belinda Bencic (11947479),Tomas Berdych (11947439),Yoshihito Nishioka (11947455),Andrea Petkovic (11947481),Jan-Lennard Struff (11947461),Jordan Thompson (11947453),,P,Andy Murray (11947463),Andy Murray,11947463,P,4900,Murray@Bautista-Agut 01/14/2019 02:00AM ET,Murray,44.15
1367310066,TEN $5K Backhand (AUS Day 1),67927791,$3,Belinda Bencic (11947479),Tomas Berdych (11947439),Yoshihito Nishioka (11947455),Andrea Petkovic (11947481),Jan-Lennard Struff (11947461),Jordan Thompson (11947453),,P,Sara Sorribes Tormo (11947473),Sara Sorribes Tormo,11947473,P,4800,Sorribes Tormo@Kontaveit 01/13/2019 10:15PM ET,Sorribes Tormo,46.1
1367310067,TEN $5K Backhand (AUS Day 1),67927791,$3,Belinda Bencic (11947479),Tomas Berdych (11947439),Yoshihito Nishioka (11947455),Andrea Petkovic (11947481),Jan-Lennard Struff (11947461),Jordan Thompson (11947453),,P,Alison Van Uytvanck (11947491),Alison Van Uytvanck,11947491,P,4700,Wozniacki@Van Uytvanck 01/14/2019 03:00AM ET,Van Uytvanck,39.38
1367310068,TEN $5K Backhand (AUS Day 1),67927791,$3,Belinda Bencic (11947479),Tomas Berdych (11947439),Yoshihito Nishioka (11947455),Andrea Petkovic (11947481),Jan-Lennard Struff (11947461),Jordan Thompson (11947453),,P,Rudolf Molleker (11947445),Rudolf Molleker,11947445,P,4600,Schwartzman@Molleker 01/13/2019 10:15PM ET,Molleker,0
1367310069,TEN $5K Backhand (AUS Day 1),67927791,$3,Belinda Bencic (11947479),Tomas Berdych (11947439),Yoshihito Nishioka (11947455),Andrea Petkovic (11947481),Jan-Lennard Struff (11947461),Jordan Thompson (11947453),,P,Magdalena Rybarikova (11947487),Magdalena Rybarikova,11947487,P,4500,Rybarikova@Kvitova 01/14/2019 03:00AM ET,Rybarikova,5.9
1367310070,TEN $5K Backhand (AUS Day 1),67927791,$3,Belinda Bencic (11947479),Tomas Berdych (11947439),Yoshihito Nishioka (11947455),Andrea Petkovic (11947481),Jan-Lennard Struff (11947461),Jordan Thompson (11947453),,P,Luksika Kumkhum (11947489),Luksika Kumkhum,11947489,P,4200,Kumkhum@Barty 01/14/2019 03:00AM ET,Kumkhum,12.5
1367310071,TEN $5K Backhand (AUS Day 1),67927791,$3,Belinda Bencic (11947479),Tomas Berdych (11947439),Yoshihito Nishioka (11947455),Andrea Petkovic (11947481),Jan-Lennard Struff (11947461),Jordan Thompson (11947453),,P,Polona Hercog (11947477),Polona Hercog,11947477,P,4100,Kerber@Hercog 01/13/2019 10:15PM ET,Hercog,8.25
1367310072,TEN $5K Backhand (AUS Day 1),67927791,$3,Belinda Bencic (11947479),Tomas Berdych (11947439),Yoshihito Nishioka (11947455),Andrea Petkovic (11947481),Jan-Lennard Struff (11947461),Jordan Thompson (11947453),,P,Pedro Sousa (11947447),Pedro Sousa,11947447,P,4000,Sousa@De Minaur 01/13/2019 11:00PM ET,Sousa,32.9
1367310073,TEN $5K Backhand (AUS Day 1),67927791,$3,Belinda Bencic (11947479),Tomas Berdych (11947439),Yoshihito Nishioka (11947455),Andrea Petkovic (11947481),Jan-Lennard Struff (11947461),Jordan Thompson (11947453),,P,Denis Istomin (11947467),Denis Istomin,11947467,P,3700,Federer@Istomin 01/14/2019 04:15AM ET,Istomin,21.55
1367310074,TEN $5K Backhand (AUS Day 1),67927791,$3,Belinda Bencic (11947479),Tomas Berdych (11947439),Yoshihito Nishioka (11947455),Andrea Petkovic (11947481),Jan-Lennard Struff (11947461),Jordan Thompson (11947453),,
1367310075,TEN $5K Backhand (AUS Day 1),67927791,$3,Belinda Bencic (11947479),Tomas Berdych (11947439),Yoshihito Nishioka (11947455),Andrea Petkovic (11947481),Jan-Lennard Struff (11947461),Jordan Thompson (11947453),,
1367310076,TEN SUPERSatellite to $100K Australian Special [4x] (AUS Day 1),67927951,$0.10,Belinda Bencic (11947479),Tomas Berdych (11947439),Yoshihito Nishioka (11947455),Andrea Petkovic (11947481),Jan-Lennard Struff (11947461),Jordan Thompson (11947453),,
1367310077,TEN SUPERSatellite to $100K Australian Special [4x] (AUS Day 1),67927951,$0.10,Belinda Bencic (11947479),Tomas Berdych (11947439),Yoshihito Nishioka (11947455),Andrea Petkovic (11947481),Jan-Lennard Struff (11947461),Jordan Thompson (11947453),,
1367310078,TEN SUPERSatellite to $100K Australian Special [4x] (AUS Day 1),67927951,$0.10,Belinda Bencic (11947479),Tomas Berdych (11947439),Yoshihito Nishioka (11947455),Andrea Petkovic (11947481),Jan-Lennard Struff (11947461),Jordan Thompson (11947453),,
1367310079,TEN SUPERSatellite to $100K Australian Special [4x] (AUS Day 1),67927951,$0.10,Belinda Bencic (11947479),Tomas Berdych (11947439),Yoshihito Nishioka (11947455),Andrea Petkovic (11947481),Jan-Lennard Struff (11947461),Jordan Thompson (11947453),,
1367310080,TEN SUPERSatellite to $100K Australian Special [4x] (AUS Day 1),67927951,$0.10,Belinda Bencic (11947479),Tomas Berdych (11947439),Yoshihito Nishioka (11947455),Andrea Petkovic (11947481),Jan-Lennard Struff (11947461),Jordan Thompson (11947453),,
1367310081,TEN SUPERSatellite to $100K Australian Special [4x] (AUS Day 1),67927951,$0.10,Belinda Bencic (11947479),Tomas Berdych (11947439),Yoshihito Nishioka (11947455),Andrea Petkovic (11947481),Jan-Lennard Struff (11947461),Jordan Thompson (11947453),,
1367310082,TEN SUPERSatellite to $100K Australian Special [4x] (AUS Day 1),67927951,$0.10,Belinda Bencic (11947479),Tomas Berdych (11947439),Yoshihito Nishioka (11947455),Andrea Petkovic (11947481),Jan-Lennard Struff (11947461),Jordan Thompson (11947453),,
