Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG/SF,Kris Dunn (14116530),Kris Dunn,14116530,PG/SF/F/G/UTIL,5300,CHI@DET 01/11/2020 07:00PM ET,CHI,20.89
PF/C,Maxi Kleber (14116535),Maxi Kleber,14116535,PF/C/F/UTIL,5200,PHI@DAL 01/11/2020 08:30PM ET,DAL,19.83
C,Dwight Howard (14116539),Dwight Howard,14116539,C/UTIL,5100,LAL@OKC 01/11/2020 08:00PM ET,LAL,19.96
PF/C,Paul Millsap (14116541),Paul Millsap,14116541,PF/C/F/UTIL,5100,CLE@DEN 01/11/2020 09:00PM ET,DEN,24.34
PF/C,Jerami Grant (14116551),Jerami Grant,14116551,PF/C/F/UTIL,4900,CLE@DEN 01/11/2020 09:00PM ET,DEN,17.61
C,Dwight Powell (14116545),Dwight Powell,14116545,C/UTIL,4900,PHI@DAL 01/11/2020 08:30PM ET,DAL,20.66
PG/SG,Delon Wright (14116547),Delon Wright,14116547,PG/SG/G/UTIL,4900,PHI@DAL 01/11/2020 08:30PM ET,DAL,20.11
SG/SF,Josh Hart (14116555),Josh Hart,14116555,SG/SF/F/G/UTIL,4800,NO@BOS 01/11/2020 07:00PM ET,NO,23.74
PG/SG,Marcus Smart (14116560),Marcus Smart,14116560,PG/SG/G/UTIL,4800,NO@BOS 01/11/2020 07:00PM ET,BOS,27
SF/PF,Otto Porter Jr. (14116564),Otto Porter Jr.,14116564,SF/PF/F/UTIL,4800,CHI@DET 01/11/2020 07:00PM ET,CHI,21.03
PG,Darius Garland (14116568),Darius Garland,14116568,PG/G/UTIL,4700,CLE@DEN 01/11/2020 09:00PM ET,CLE,20.47
SG/SF,Tim Hardaway Jr. (14116571),Tim Hardaway Jr.,14116571,SG/SF/F/G/UTIL,4700,PHI@DAL 01/11/2020 08:30PM ET,DAL,22.14
PG/SG,Donte DiVincenzo (14116580),Donte DiVincenzo,14116580,PG/SG/G/UTIL,4600,MIL@POR 01/11/2020 10:00PM ET,MIL,21.26
PF/C,Kyle O'Quinn (14116576),Kyle O'Quinn,14116576,PF/C/F/UTIL,4600,PHI@DAL 01/11/2020 08:30PM ET,PHI,11.67
SG/SF,E'Twaun Moore (14116588),E'Twaun Moore,14116588,SG/SF/F/G/UTIL,4500,NO@BOS 01/11/2020 07:00PM ET,NO,18.52
PF/C,Daniel Theis (14116593),Daniel Theis,14116593,PF/C/F/UTIL,4500,NO@BOS 01/11/2020 07:00PM ET,BOS,20.92
SF/PF,Dorian Finney-Smith (14116584),Dorian Finney-Smith,14116584,SF/PF/F/UTIL,4500,PHI@DAL 01/11/2020 08:30PM ET,DAL,20.57
C,Daniel Gafford (14116597),Daniel Gafford,14116597,C/UTIL,4400,CHI@DET 01/11/2020 07:00PM ET,CHI,10.76
SF/PF,Cedi Osman (14116603),Cedi Osman,14116603,SF/PF/F/UTIL,4300,CLE@DEN 01/11/2020 09:00PM ET,CLE,20.43
SG,Gary Harris (14116611),Gary Harris,14116611,SG/G/UTIL,4300,CLE@DEN 01/11/2020 09:00PM ET,DEN,21.11
PG/SG,Coby White (14116599),Coby White,14116599,PG/SG/G/UTIL,4300,CHI@DET 01/11/2020 07:00PM ET,CHI,21.18
PF/C,Markieff Morris (14116607),Markieff Morris,14116607,PF/C/F/UTIL,4300,CHI@DET 01/11/2020 07:00PM ET,DET,19.85
PG/SG,George Hill (14116619),George Hill,14116619,PG/SG/G/UTIL,4200,MIL@POR 01/11/2020 10:00PM ET,MIL,20.97
SG/SF,Danny Green (14116614),Danny Green,14116614,SG/SF/F/G/UTIL,4200,LAL@OKC 01/11/2020 08:00PM ET,LAL,18.95
SF/PF,Tony Snell (14116623),Tony Snell,14116623,SF/PF/F/UTIL,4200,CHI@DET 01/11/2020 07:00PM ET,DET,14.32
C,JaVale McGee (14116631),JaVale McGee,14116631,C/UTIL,4100,LAL@OKC 01/11/2020 08:00PM ET,LAL,19.21
