Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
C,Boban Marjanovic (14116890),Boban Marjanovic,14116890,C/UTIL,3000,PHI@DAL 01/11/2020 08:30PM ET,DAL,12.57
SG,Antonius Cleveland (14116892),Antonius Cleveland,14116892,SG/G/UTIL,3000,PHI@DAL 01/11/2020 08:30PM ET,DAL,3.25
SG,Josh Reaves (14116895),Josh Reaves,14116895,SG/G/UTIL,3000,PHI@DAL 01/11/2020 08:30PM ET,DAL,0
SF/PF,Isaiah Roby (14116898),Isaiah Roby,14116898,SF/PF/F/UTIL,3000,PHI@DAL 01/11/2020 08:30PM ET,DAL,0
PG/SG,Trey Burke (14117025),Trey Burke,14117025,PG/SG/G/UTIL,3000,PHI@DAL 01/11/2020 08:30PM ET,PHI,13.54
PG,Raul Neto (14117029),Raul Neto,14117029,PG/G/UTIL,3000,PHI@DAL 01/11/2020 08:30PM ET,PHI,8.32
SG/SF,Marial Shayok (14117032),Marial Shayok,14117032,SG/SF/F/G/UTIL,3000,PHI@DAL 01/11/2020 08:30PM ET,PHI,0
PF/C,Jonah Bolden (14117037),Jonah Bolden,14117037,PF/C/F/UTIL,3000,PHI@DAL 01/11/2020 08:30PM ET,PHI,1.75
PG/SG,Shake Milton (14117041),Shake Milton,14117041,PG/SG/G/UTIL,3000,PHI@DAL 01/11/2020 08:30PM ET,PHI,6.89
SG/SF,Matisse Thybulle (14117045),Matisse Thybulle,14117045,SG/SF/F/G/UTIL,3000,PHI@DAL 01/11/2020 08:30PM ET,PHI,12.28
SG/SF,Zhaire Smith (14117050),Zhaire Smith,14117050,SG/SF/F/G/UTIL,3000,PHI@DAL 01/11/2020 08:30PM ET,PHI,0
