Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,AvgPointsPerGame,AvgPointsPerGame,AvgPointsPerGame,AvgPointsPerGame,AvgPointsPerGame,AvgPointsPerGame,AvgPointsPerGame,AvgPointsPerGame
G,Denny McCarthy (13308232),Denny McCarthy,13308232,G,8200,A Military Tribute at The Greenbrier,Golf,55.24161723,Bud Cauley(13308239),Jason Dufner(13308245),Viktor Hovland(13308212),Sungjae Im(13308216),Mackenzie Hughes(13308259),Sam Burns(13308273),50000,360.541
G,J.B. Holmes (13308233),J.B. Holmes,13308233,G,8100,A Military Tribute at The Greenbrier,Golf,54.97272104,Joaquin Niemann(13308217),Sam Burns(13308273),Viktor Hovland(13308212),Denny McCarthy(13308232),Scott Stallings(13308269),Mackenzie Hughes(13308259),49900,360.533
G,Joel Dahmen (13308234),Joel Dahmen,13308234,G,8000,A Military Tribute at The Greenbrier,Golf,54.99273507,Joaquin Niemann(13308217),Sam Burns(13308273),Joel Dahmen(13308234),Viktor Hovland(13308212),Cameron Tringale(13308252),Mackenzie Hughes(13308259),50000,360.398
G,Tom Lewis (13308235),Tom Lewis,13308235,G,7900,A Military Tribute at The Greenbrier,Golf,53.17209473,Bryson DeChambeau(13308211),Joaquin Niemann(13308217),Jason Dufner(13308245),Sam Burns(13308273),Cameron Tringale(13308252),Mackenzie Hughes(13308259),49700,360.312
G,Danny Lee (13308236),Danny Lee,13308236,G,7900,A Military Tribute at The Greenbrier,Golf,53.3681077,Bryson DeChambeau(13308211),Sam Burns(13308273),Cameron Tringale(13308252),Jason Kokrak(13308213),J.J. Spaun(13308274),Mackenzie Hughes(13308259),49900,360.309
G,Bronson Burgoon (13308237),Bronson Burgoon,13308237,G,7800,A Military Tribute at The Greenbrier,Golf,52.12467274,Sam Burns(13308273),Viktor Hovland(13308212),Sungjae Im(13308216),Denny McCarthy(13308232),Scott Stallings(13308269),Mackenzie Hughes(13308259),50000,360.305
G,Austin Cook (13308238),Austin Cook,13308238,G,7800,A Military Tribute at The Greenbrier,Golf,52.20613196,Joaquin Niemann(13308217),Sam Burns(13308273),Joel Dahmen(13308234),Viktor Hovland(13308212),Scott Stallings(13308269),Mackenzie Hughes(13308259),49700,360.284
G,Bud Cauley (13308239),Bud Cauley,13308239,G,7700,A Military Tribute at The Greenbrier,Golf,53.29814458,Joaquin Niemann(13308217),Sam Burns(13308273),Viktor Hovland(13308212),J.B. Holmes(13308233),Scott Stallings(13308269),Mackenzie Hughes(13308259),49800,360.264
G,Kramer Hickok (13308240),Kramer Hickok,13308240,G,7700,A Military Tribute at The Greenbrier,Golf,49.77774072,Bryson DeChambeau(13308211),Joaquin Niemann(13308217),Jason Dufner(13308245),Sam Burns(13308273),Scott Stallings(13308269),Mackenzie Hughes(13308259),49400,360.198
G,Branden Grace (13308241),Branden Grace,13308241,G,7700,A Military Tribute at The Greenbrier,Golf,53.37826556,Bryson DeChambeau(13308211),Sam Burns(13308273),Jason Kokrak(13308213),J.J. Spaun(13308274),Scott Stallings(13308269),Mackenzie Hughes(13308259),49600,360.194
G,Ryan Armour (13308242),Ryan Armour,13308242,G,7600,A Military Tribute at The Greenbrier,Golf,49.60415878,Bryson DeChambeau(13308211),Sam Burns(13308273),Jason Dufner(13308245),Cameron Tringale(13308252),Sungjae Im(13308216),Mackenzie Hughes(13308259),49800,360.084
G,Sepp Straka (13308243),Sepp Straka,13308243,G,7600,A Military Tribute at The Greenbrier,Golf,48.22646389,Sam Burns(13308273),Joel Dahmen(13308234),Viktor Hovland(13308212),Scott Stallings(13308269),Sungjae Im(13308216),Mackenzie Hughes(13308259),49800,360.056
G,Sebastian Munoz (13308244),Sebastian Munoz,13308244,G,7600,A Military Tribute at The Greenbrier,Golf,46.51006236,Sam Burns(13308273),Viktor Hovland(13308212),Scott Stallings(13308269),Sungjae Im(13308216),J.B. Holmes(13308233),Mackenzie Hughes(13308259),49900,360.036
G,Jason Dufner (13308245),Jason Dufner,13308245,G,7500,A Military Tribute at The Greenbrier,Golf,53.75225963,Bryson DeChambeau(13308211),Sam Burns(13308273),Jason Dufner(13308245),Sungjae Im(13308216),Scott Stallings(13308269),Mackenzie Hughes(13308259),49500,359.97
G,Matt Jones (13308246),Matt Jones,13308246,G,7500,A Military Tribute at The Greenbrier,Golf,39.32309105,Bryson DeChambeau(13308211),Joaquin Niemann(13308217),Sam Burns(13308273),Branden Grace(13308241),Cameron Tringale(13308252),Mackenzie Hughes(13308259),49900,359.938
G,Bill Haas (13308247),Bill Haas,13308247,G,7500,A Military Tribute at The Greenbrier,Golf,49.58426038,Bryson DeChambeau(13308211),Sam Burns(13308273),Cameron Tringale(13308252),Jason Kokrak(13308213),Nate Lashley(13308275),Mackenzie Hughes(13308259),49900,359.927
G,Andrew Landry (13308248),Andrew Landry,13308248,G,7400,A Military Tribute at The Greenbrier,Golf,52.44467775,Joaquin Niemann(13308217),Sam Burns(13308273),Jason Dufner(13308245),Viktor Hovland(13308212),Andrew Landry(13308248),Mackenzie Hughes(13308259),49600,359.916
G,David Hearn (13308249),David Hearn,13308249,G,7400,A Military Tribute at The Greenbrier,Golf,38.07542935,Sam Burns(13308273),Viktor Hovland(13308212),Jason Kokrak(13308213),J.J. Spaun(13308274),Andrew Landry(13308248),Mackenzie Hughes(13308259),49800,359.912
G,Jimmy Walker (13308250),Jimmy Walker,13308250,G,7400,A Military Tribute at The Greenbrier,Golf,40.87146559,Bryson DeChambeau(13308211),Sam Burns(13308273),Jason Dufner(13308245),Cameron Tringale(13308252),Bubba Watson(13308215),Mackenzie Hughes(13308259),50000,359.874
G,Brandon Hagy (13308251),Brandon Hagy,13308251,G,7400,A Military Tribute at The Greenbrier,Golf,39.50922918,Bryson DeChambeau(13308211),Bud Cauley(13308239),Joaquin Niemann(13308217),Sam Burns(13308273),Cameron Tringale(13308252),Mackenzie Hughes(13308259),49900,359.858
G,Cameron Tringale (13308252),Cameron Tringale,13308252,G,7300,A Military Tribute at The Greenbrier,Golf,51.68698344,Sam Burns(13308273),Joel Dahmen(13308234),Viktor Hovland(13308212),Bubba Watson(13308215),Scott Stallings(13308269),Mackenzie Hughes(13308259),50000,359.845
G,Nick Taylor (13308253),Nick Taylor,13308253,G,7300,A Military Tribute at The Greenbrier,Golf,39.40137862,Bryson DeChambeau(13308211),Joaquin Niemann(13308217),Sam Burns(13308273),Branden Grace(13308241),Scott Stallings(13308269),Mackenzie Hughes(13308259),49600,359.824
G,Nick Watney (13308254),Nick Watney,13308254,G,7300,A Military Tribute at The Greenbrier,Golf,48.54469744,Bryson DeChambeau(13308211),Joaquin Niemann(13308217),Sam Burns(13308273),Scott Stallings(13308269),Mackenzie Hughes(13308259),Danny Lee(13308236),49800,359.814
G,Beau Hossler (13308255),Beau Hossler,13308255,G,7300,A Military Tribute at The Greenbrier,Golf,44.56088805,Bryson DeChambeau(13308211),Sam Burns(13308273),Jason Kokrak(13308213),Nate Lashley(13308275),Scott Stallings(13308269),Mackenzie Hughes(13308259),49600,359.812
G,Adam Schenk (13308256),Adam Schenk,13308256,G,7200,A Military Tribute at The Greenbrier,Golf,44.50551766,Bryson DeChambeau(13308211),Sam Burns(13308273),Jason Dufner(13308245),Bubba Watson(13308215),Scott Stallings(13308269),Mackenzie Hughes(13308259),49700,359.759
G,Fabian Gomez (13308257),Fabian Gomez,13308257,G,7200,A Military Tribute at The Greenbrier,Golf,39.41676833,Bryson DeChambeau(13308211),Bud Cauley(13308239),Joaquin Niemann(13308217),Sam Burns(13308273),Scott Stallings(13308269),Mackenzie Hughes(13308259),49600,359.744
G,Harry Higgs (13308258),Harry Higgs,13308258,G,7200,A Military Tribute at The Greenbrier,Golf,38.02050219,Bryson DeChambeau(13308211),Sam Burns(13308273),Branden Grace(13308241),Cameron Tringale(13308252),Sungjae Im(13308216),Mackenzie Hughes(13308259),50000,359.71
G,Mackenzie Hughes (13308259),Mackenzie Hughes,13308259,G,7200,A Military Tribute at The Greenbrier,Golf,62.9097988,Sam Burns(13308273),Jason Dufner(13308245),Viktor Hovland(13308212),Andrew Landry(13308248),Sungjae Im(13308216),Mackenzie Hughes(13308259),49700,359.688
G,Anirban Lahiri (13308260),Anirban Lahiri,13308260,G,7200,A Military Tribute at The Greenbrier,Golf,39.41676833,Austin Cook(13308238),Joaquin Niemann(13308217),Jason Dufner(13308245),Viktor Hovland(13308212),Mackenzie Hughes(13308259),Sam Burns(13308273),50000,359.677
G,Talor Gooch (13308261),Talor Gooch,13308261,G,7100,A Military Tribute at The Greenbrier,Golf,39.43349628,Bryson DeChambeau(13308211),Bud Cauley(13308239),Sam Burns(13308273),Cameron Tringale(13308252),Sungjae Im(13308216),Mackenzie Hughes(13308259),50000,359.63
G,Henrik Norlander (13308262),Henrik Norlander,13308262,G,7100,A Military Tribute at The Greenbrier,Golf,35.74963447,Bryson DeChambeau(13308211),Joaquin Niemann(13308217),Sam Burns(13308273),Tom Lewis(13308235),Scott Stallings(13308269),Mackenzie Hughes(13308259),49800,359.617
G,Lanto Griffin (13308263),Lanto Griffin,13308263,G,7100,A Military Tribute at The Greenbrier,Golf,38.13951103,Joaquin Niemann(13308217),Sam Burns(13308273),Jason Dufner(13308245),Viktor Hovland(13308212),Bronson Burgoon(13308237),Mackenzie Hughes(13308259),50000,359.596
G,Sam Ryder (13308264),Sam Ryder,13308264,G,7100,A Military Tribute at The Greenbrier,Golf,39.43349628,Bryson DeChambeau(13308211),Sam Burns(13308273),Branden Grace(13308241),Sungjae Im(13308216),Scott Stallings(13308269),Mackenzie Hughes(13308259),49700,359.596
G,Brice Garnett (13308265),Brice Garnett,13308265,G,7100,A Military Tribute at The Greenbrier,Golf,39.38717274,Bryson DeChambeau(13308211),Sam Burns(13308273),Sungjae Im(13308216),Scott Stallings(13308269),Mackenzie Hughes(13308259),Danny Lee(13308236),49900,359.585
G,Tom Hoge (13308266),Tom Hoge,13308266,G,7000,A Military Tribute at The Greenbrier,Golf,38.15371692,Joaquin Niemann(13308217),Sam Burns(13308273),Branden Grace(13308241),Viktor Hovland(13308212),Andrew Landry(13308248),Mackenzie Hughes(13308259),49800,359.542
G,Kevin Chappell (13308267),Kevin Chappell,13308267,G,7000,A Military Tribute at The Greenbrier,Golf,35.68743894,Joaquin Niemann(13308217),Sam Burns(13308273),Viktor Hovland(13308212),Andrew Landry(13308248),Mackenzie Hughes(13308259),Danny Lee(13308236),50000,359.532
G,Sung Kang (13308268),Sung Kang,13308268,G,7000,A Military Tribute at The Greenbrier,Golf,38.07542935,Sam Burns(13308273),Viktor Hovland(13308212),Jason Kokrak(13308213),Nate Lashley(13308275),Andrew Landry(13308248),Mackenzie Hughes(13308259),49800,359.53
G,Scott Stallings (13308269),Scott Stallings,13308269,G,7000,A Military Tribute at The Greenbrier,Golf,51.57225172,Bryson DeChambeau(13308211),Bud Cauley(13308239),Sam Burns(13308273),Sungjae Im(13308216),Scott Stallings(13308269),Mackenzie Hughes(13308259),49700,359.515
G,Doc Redman (13308270),Doc Redman,13308270,G,7000,A Military Tribute at The Greenbrier,Golf,45.72519611,Bryson DeChambeau(13308211),Sam Burns(13308273),Jason Kokrak(13308213),Scott Stallings(13308269),Mackenzie Hughes(13308259),Nick Watney(13308254),50000,359.494
G,Brian Stuard (13308271),Brian Stuard,13308271,G,7000,A Military Tribute at The Greenbrier,Golf,39.40137862,Sam Burns(13308273),Jason Dufner(13308245),Viktor Hovland(13308212),Bubba Watson(13308215),Andrew Landry(13308248),Mackenzie Hughes(13308259),49900,359.477
G,David Lingmerth (13308272),David Lingmerth,13308272,G,6900,A Military Tribute at The Greenbrier,Golf,38.02050219,Joaquin Niemann(13308217),Bud Cauley(13308239),Sam Burns(13308273),Viktor Hovland(13308212),Andrew Landry(13308248),Mackenzie Hughes(13308259),49800,359.462
G,Sam Burns (13308273),Sam Burns,13308273,G,6900,A Military Tribute at The Greenbrier,Golf,53.42813144,Bryson DeChambeau(13308211),Sam Burns(13308273),Viktor Hovland(13308212),Ryan Brehm(13308284),Scott Stallings(13308269),Mackenzie Hughes(13308259),49900,359.457
G,J.J. Spaun (13308274),J.J. Spaun,13308274,G,6900,A Military Tribute at The Greenbrier,Golf,49.24481125,Bryson DeChambeau(13308211),Sam Burns(13308273),Tom Lewis(13308235),Sungjae Im(13308216),Scott Stallings(13308269),Mackenzie Hughes(13308259),49900,359.389
G,Nate Lashley (13308275),Nate Lashley,13308275,G,6900,A Military Tribute at The Greenbrier,Golf,48.86293099,Bryson DeChambeau(13308211),Sam Burns(13308273),Branden Grace(13308241),Bubba Watson(13308215),Scott Stallings(13308269),Mackenzie Hughes(13308259),49900,359.385
G,Zac Blair (13308276),Zac Blair,13308276,G,6900,A Military Tribute at The Greenbrier,Golf,36.93645179,Sam Burns(13308273),Viktor Hovland(13308212),Jason Kokrak(13308213),Scott Stallings(13308269),Mackenzie Hughes(13308259),Bill Haas(13308247),50000,359.379
G,Roberto Castro (13308277),Roberto Castro,13308277,G,6900,A Military Tribute at The Greenbrier,Golf,39.41676833,Jason Dufner(13308245),Viktor Hovland(13308212),Jason Kokrak(13308213),J.J. Spaun(13308274),Scott Stallings(13308269),Mackenzie Hughes(13308259),50000,359.364
G,Grayson Murray (13308278),Grayson Murray,13308278,G,6800,A Military Tribute at The Greenbrier,Golf,33.70475039,Bryson DeChambeau(13308211),Sam Burns(13308273),Joaquin Niemann(13308217),Denny McCarthy(13308232),J.J. Spaun(13308274),Mackenzie Hughes(13308259),50000,359.36
G,Peter Uihlein (13308279),Peter Uihlein,13308279,G,6800,A Military Tribute at The Greenbrier,Golf,32.87613151,Joaquin Niemann(13308217),Sam Burns(13308273),Viktor Hovland(13308212),Tom Lewis(13308235),Andrew Landry(13308248),Mackenzie Hughes(13308259),50000,359.336
