Away,AwayProjectedTotal,AwayScore,Home,HomeProjectedTotal,HomeScore,OU,Line,Favorite,Date,Season,Winner,LineWinner,OverUnder,WinnerFavorite,LineWinnerFavorite,AwayBack2Back,HomeBack2Back,,,
IND,75,80,NEW,78.5,63,153.5,-3.5,Home,6/19/2015,2015,Away,Away,Under,Underdog,Underdog,,,,,
MIN,78,74,SA,70.5,59,148.5,-7.5,Away,6/19/2015,2015,Away,Away,Under,Favorite,Favorite,,,,,
IND,75,80,NEW,78.5,63,153.5,-3.5,Home,6/19/2015,2015,Away,Away,Under,Underdog,Underdog,,,,,
WAS,74.5,87,IND,73.5,75,148,-1,Away,6/20/2015,2015,Away,Away,Over,Favorite,Favorite,Back,Back,,,
NEW,72,73,ATL,77,64,149,-5,Home,6/21/2015,2015,Away,Away,Under,Underdog,Underdog,,,,,
TUL,74.75,86,MIN,82.25,78,157,-7.5,Home,6/21/2015,2015,Away,Away,Over,Underdog,Underdog,,,,,
NEW,72,73,ATL,77,64,149,-5,Home,6/21/2015,2015,Away,Away,Under,Underdog,Underdog,,,,,
CONN,69.75,76,LOS,65.75,68,135.5,-4,Away,6/21/2015,2015,Away,Away,Over,Favorite,Favorite,,,,,
PHO,72.75,84,SEA,70.25,72,143,-2.5,Away,6/21/2015,2015,Away,Away,Over,Favorite,Favorite,,,,,
CONN,69.75,76,LOS,65.75,68,135.5,-4,Away,6/21/2015,2015,Away,Away,Over,Favorite,Favorite,,,,,
LOS,63.75,80,WAS,74.75,84,138.5,-11,Home,6/23/2015,2015,Home,Away,Over,Favorite,Underdog,,,,,
PHO,75.5,71,SA,73,76,148.5,-2.5,Away,6/25/2015,2015,Home,Home,Under,Underdog,Underdog,,,,,
MIN,78,76,SEA,67.5,73,145.5,-10.5,Away,6/25/2015,2015,Away,Home,Over,Favorite,Underdog,,,,,
CHI,83.75,83,IND,80.75,77,164.5,-3,Away,6/26/2015,2015,Away,Away,Under,Favorite,Favorite,,,,,
WAS,74.5,69,ATL,71.5,72,146,-3,Away,6/26/2015,2015,Home,Home,Under,Underdog,Underdog,,,,,
CHI,83.75,83,IND,80.75,77,164.5,-3,Away,6/26/2015,2015,Away,Away,Under,Favorite,Favorite,,,,,
LOS,67.25,62,CONN,74.25,71,141.5,-7,Home,6/26/2015,2015,Home,Home,Under,Favorite,Favorite,,,,,
NEW,71.25,62,TUL,79.75,71,151,-8.5,Home,6/26/2015,2015,Home,Home,Under,Favorite,Favorite,,,,,
LOS,67.25,62,CONN,74.25,71,141.5,-7,Home,6/26/2015,2015,Home,Home,Under,Favorite,Favorite,,,,,
SEA,69,71,SA,74.5,73,143.5,-5.5,Home,6/27/2015,2015,Home,Away,Over,Favorite,Underdog,Front,,,,
PHO,71.75,56,MIN,78.25,71,150,-6.5,Home,6/27/2015,2015,Home,Home,Under,Favorite,Favorite,,,,,
LOS,68.75,70,NEW,72.25,79,141,-3.5,Home,6/28/2015,2015,Home,Home,Over,Favorite,Favorite,,,,,
SEA,69,89,TUL,81,93,150,-12,Home,6/28/2015,2015,Home,Away,Over,Favorite,Underdog,Back,,,,
LOS,68.75,70,NEW,72.25,79,141,-3.5,Home,6/28/2015,2015,Home,Home,Over,Favorite,Favorite,,,,,
CHI,76.5,71,WAS,77.5,86,154,-1,Home,6/28/2015,2015,Home,Home,Over,Favorite,Favorite,,,,,
IND,74,92,CONN,78.5,84,152.5,-4.5,Home,6/30/2015,2015,Away,Away,Over,Underdog,Underdog,,,,,
TUL,76.5,69,SEA,74,74,150.5,-2.5,Away,6/30/2015,2015,Home,Home,Under,Underdog,Underdog,,,,,
IND,74,92,CONN,78.5,84,152.5,-4.5,Home,6/30/2015,2015,Away,Away,Over,Underdog,Underdog,,,,,
NEW,73.5,89,CHI,79,81,152.5,-5.5,Home,6/30/2015,2015,Away,Away,Over,Underdog,Underdog,,,,,
SA,69.75,78,PHO,80.25,85,150,-10.5,Home,6/30/2015,2015,Home,Away,Over,Favorite,Underdog,,,,,
NEW,73.5,89,CHI,79,81,152.5,-5.5,Home,6/30/2015,2015,Away,Away,Over,Underdog,Underdog,,,,,
WAS,79.75,50,IND,76.25,73,156,-3.5,Away,7/2/2015,2015,Home,Home,Under,Underdog,Underdog,,,,,
TUL,71,55,PHO,78.5,86,149.5,-7.5,Home,7/2/2015,2015,Home,Home,Under,Favorite,Favorite,Front,,,,
WAS,79.75,50,IND,76.25,73,156,-3.5,Away,7/2/2015,2015,Home,Home,Under,Underdog,Underdog,,,,,
CHI,79.25,77,CONN,74.75,74,154,-4.5,Away,7/2/2015,2015,Away,Home,Under,Favorite,Underdog,,,,,
SA,72.5,81,LOS,77.5,86,150,-5,Home,7/2/2015,2015,Home,Push,Over,Favorite,Underdog,,Front,,,
CHI,79.25,77,CONN,74.75,74,154,-4.5,Away,7/2/2015,2015,Away,Home,Under,Favorite,Underdog,,,,,
SEA,67.5,57,MIN,80,82,147.5,-12.5,Home,7/3/2015,2015,Home,Home,Under,Favorite,Favorite,,,,,
TUL,71.75,95,LOS,77.25,98,149,-5.5,Home,7/3/2015,2015,Home,Away,Over,Favorite,Underdog,Back,Back,,,
SEA,70.5,64,ATL,77,72,147.5,-6.5,Home,7/5/2015,2015,Home,Home,Under,Favorite,Favorite,,,,,
TUL,73.75,85,ATL,78.75,75,152.5,-5,Home,7/7/2015,2015,Away,Away,Over,Underdog,Underdog,,,,,
SEA,71.25,65,IND,77.75,88,149,-6.5,Home,7/8/2015,2015,Home,Home,Over,Favorite,Favorite,,,,,
LOS,79.25,63,SA,75.75,70,155,-3.5,Away,7/8/2015,2015,Home,Home,Under,Underdog,Underdog,,,,,
SA,72,76,IND,79.5,83,151.5,-7.5,Home,7/10/2015,2015,Home,Away,Over,Favorite,Underdog,,,,,
PHO,77,94,SEA,69,79,146,-8,Away,7/10/2015,2015,Away,Away,Over,Favorite,Favorite,,,,,
SA,72,76,IND,79.5,83,151.5,-7.5,Home,7/10/2015,2015,Home,Away,Over,Favorite,Underdog,,,,,
MIN,79.75,83,CHI,75.75,90,155.5,-4,Away,7/10/2015,2015,Home,Home,Over,Underdog,Underdog,,,,,
LOS,76.5,67,TUL,81,82,157.5,-4.5,Home,7/11/2015,2015,Home,Home,Under,Favorite,Favorite,,,,,
NEW,74.25,76,ATL,71.25,84,145.5,-3,Away,7/12/2015,2015,Home,Home,Over,Underdog,Underdog,,,,,
SEA,67.5,60,PHO,82,70,149.5,-14.5,Home,7/12/2015,2015,Home,Away,Under,Favorite,Underdog,,,,,
NEW,74.25,76,ATL,71.25,84,145.5,-3,Away,7/12/2015,2015,Home,Home,Over,Underdog,Underdog,,,,,
CONN,74.5,76,CHI,82.5,96,157,-8,Home,7/12/2015,2015,Home,Home,Over,Favorite,Favorite,,,,,
SA,66.75,49,MIN,82.25,66,149,-15.5,Home,7/12/2015,2015,Home,Home,Under,Favorite,Favorite,,,,,
CONN,74.5,76,CHI,82.5,96,157,-8,Home,7/12/2015,2015,Home,Home,Over,Favorite,Favorite,,,,,
MIN,76.25,85,CONN,69.75,79,146,-6.5,Away,7/14/2015,2015,Away,Home,Over,Favorite,Underdog,,,,,
ATL,71.75,71,PHO,81.75,80,153.5,-10,Home,7/14/2015,2015,Home,Away,Under,Favorite,Underdog,,,,,
SA,68,68,NEW,77,84,145,-9,Home,7/15/2015,2015,Home,Home,Over,Favorite,Favorite,,,,,
LOS,74.75,61,SEA,71.75,68,146.5,-3,Away,7/15/2015,2015,Home,Home,Under,Underdog,Underdog,Front,,,,
SA,68,68,NEW,77,84,145,-9,Home,7/15/2015,2015,Home,Home,Over,Favorite,Favorite,,,,,
WAS,75.75,57,CHI,81.25,85,157,-5.5,Home,7/15/2015,2015,Home,Home,Under,Favorite,Favorite,,,,,
TUL,78.75,80,IND,81.75,83,160.5,-3,Home,7/15/2015,2015,Home,Push,Over,Favorite,Underdog,,,,,
WAS,75.75,57,CHI,81.25,85,157,-5.5,Home,7/15/2015,2015,Home,Home,Under,Favorite,Favorite,,,,,
ATL,75.25,76,LOS,77.25,72,152.5,-2,Home,7/16/2015,2015,Away,Away,Under,Underdog,Underdog,,Back,,,
CONN,71.25,57,NEW,76.75,64,148,-5.5,Home,7/16/2015,2015,Home,Home,Under,Favorite,Favorite,,Back,,,
IND,74,50,WAS,76,68,150,-2,Home,7/17/2015,2015,Home,Home,Under,Favorite,Favorite,,,,,
CHI,75.5,66,MIN,80.5,84,156,-5,Home,7/17/2015,2015,Home,Home,Under,Favorite,Favorite,,,,,
IND,74,50,WAS,76,68,150,-2,Home,7/17/2015,2015,Home,Home,Under,Favorite,Favorite,,,,,
TUL,78,58,SA,73.5,65,151.5,-4.5,Away,7/17/2015,2015,Home,Home,Under,Underdog,Underdog,,,,,
ATL,75,73,SEA,72.5,86,147.5,-2.5,Away,7/18/2015,2015,Home,Home,Over,Underdog,Underdog,,,,,
ATL,75,73,SEA,72.5,86,147.5,-2.5,Away,7/18/2015,2015,Home,Home,Over,Underdog,Underdog,,,,,
NEW,71,75,PHO,78,73,149,-7,Home,7/18/2015,2015,Away,Away,Under,Underdog,Underdog,,,,,
MIN,78,79,TUL,74.5,72,152.5,-3.5,Away,7/19/2015,2015,Away,Away,Under,Favorite,Favorite,,,,,
CONN,68.25,82,WAS,74.25,89,142.5,-6,Home,7/19/2015,2015,Home,Home,Over,Favorite,Favorite,Back,,,,
MIN,78,79,TUL,74.5,72,152.5,-3.5,Away,7/19/2015,2015,Away,Away,Under,Favorite,Favorite,,,,,
SA,72,82,CHI,83.5,93,155.5,-11.5,Home,7/19/2015,2015,Home,Away,Over,Favorite,Underdog,,,,,
IND,77.25,62,SA,74.75,80,152,-2.5,Away,7/21/2015,2015,Home,Home,Under,Underdog,Underdog,,,,,
ATL,76.5,92,CHI,86,97,162.5,-9.5,Home,7/21/2015,2015,Home,Away,Over,Favorite,Underdog,,,,,
NEW,74.5,81,SEA,70,77,144.5,-4.5,Away,7/21/2015,2015,Away,Home,Over,Favorite,Underdog,Front,,,,
WAS,73.25,76,TUL,76.75,69,150,-3.5,Home,7/21/2015,2015,Away,Away,Under,Underdog,Underdog,,,,,
PHO,77.25,65,LOS,73.25,70,150.5,-4,Away,7/21/2015,2015,Home,Home,Under,Underdog,Underdog,,Front,,,
WAS,73.25,76,TUL,76.75,69,150,-3.5,Home,7/21/2015,2015,Away,Away,Under,Underdog,Underdog,,,,,
NEW,72.75,59,LOS,74.25,53,147,-1.5,Home,7/22/2015,2015,Away,Away,Under,Underdog,Underdog,Back,Back,,,
SEA,67.5,74,WAS,76,87,143.5,-8.5,Home,7/29/2015,2015,Home,Home,Over,Favorite,Favorite,,,,,
LOS,69.75,76,MIN,78.25,82,148,-8.5,Home,7/29/2015,2015,Home,Away,Over,Favorite,Underdog,,,,,
SEA,67.5,74,WAS,76,87,143.5,-8.5,Home,7/29/2015,2015,Home,Home,Over,Favorite,Favorite,,,,,
NEW,75.75,72,IND,73.25,84,149,-2.5,Away,7/29/2015,2015,Home,Home,Over,Underdog,Underdog,,,,,
ATL,74.5,85,SA,78,102,152.5,-3.5,Home,7/29/2015,2015,Home,Home,Over,Favorite,Favorite,,,,,
NEW,75.75,72,IND,73.25,84,149,-2.5,Away,7/29/2015,2015,Home,Home,Over,Underdog,Underdog,,,,,
PHO,77.5,78,TUL,75.5,66,153,-2,Away,7/30/2015,2015,Away,Away,Under,Favorite,Favorite,,,,,
SEA,70.25,66,CONN,77.25,67,147.5,-7,Home,7/31/2015,2015,Home,Away,Under,Favorite,Underdog,,,,,
ATL,71,70,MIN,84.5,86,155.5,-13.5,Home,7/31/2015,2015,Home,Home,Over,Favorite,Favorite,,Front,,,
SEA,70.25,66,CONN,77.25,67,147.5,-7,Home,7/31/2015,2015,Home,Away,Under,Favorite,Underdog,,,,,
WAS,75,88,SA,73.5,53,148.5,-1.5,Away,7/31/2015,2015,Away,Away,Under,Favorite,Favorite,,,,,
LOS,78.5,88,CHI,84,77,162.5,-5.5,Home,7/31/2015,2015,Away,Away,Over,Underdog,Underdog,,,,,
WAS,75,88,SA,73.5,53,148.5,-1.5,Away,7/31/2015,2015,Away,Away,Under,Favorite,Favorite,,,,,
MIN,78.5,86,TUL,73,80,151.5,-5.5,Away,8/1/2015,2015,Away,Away,Over,Favorite,Favorite,Back,,,,
PHO,81.25,71,ATL,75.25,68,156.5,-6,Away,8/2/2015,2015,Away,Home,Under,Favorite,Underdog,,,,,
LOS,78.75,80,SA,73.75,78,152.5,-5,Away,8/2/2015,2015,Away,Home,Over,Favorite,Underdog,,,,,
CONN,72.25,70,IND,78.25,83,150.5,-6,Home,8/2/2015,2015,Home,Home,Over,Favorite,Favorite,,,,,
SEA,69,62,NEW,78,78,147,-9,Home,8/2/2015,2015,Home,Home,Under,Favorite,Favorite,,,,,
WAS,76.25,68,CHI,81.75,71,158,-5.5,Home,8/2/2015,2015,Home,Away,Under,Favorite,Underdog,,,,,
SEA,69,62,NEW,78,78,147,-9,Home,8/2/2015,2015,Home,Home,Under,Favorite,Favorite,,,,,
SA,73.25,51,CONN,76.75,82,150,-3.5,Home,8/4/2015,2015,Home,Home,Under,Favorite,Favorite,,,,,
MIN,77.25,61,LOS,74.75,83,152,-2.5,Away,8/4/2015,2015,Home,Home,Under,Underdog,Underdog,,,,,
SA,73.25,51,CONN,76.75,82,150,-3.5,Home,8/4/2015,2015,Home,Home,Under,Favorite,Favorite,,,,,
IND,77.75,82,CHI,83.75,106,161.5,-6,Home,8/4/2015,2015,Home,Home,Over,Favorite,Favorite,,,,,
SA,69.25,63,WAS,79.25,66,148.5,-10,Home,8/5/2015,2015,Home,Away,Under,Favorite,Underdog,Back,,,,
TUL,72.5,57,LOS,80,84,152.5,-7.5,Home,8/6/2015,2015,Home,Home,Under,Favorite,Favorite,,,,,
WAS,73,72,CONN,71,86,144,-2,Away,8/7/2015,2015,Home,Home,Over,Underdog,Underdog,,,,,
NEW,76.75,77,CHI,81.25,63,158,-4.5,Home,8/7/2015,2015,Away,Away,Under,Underdog,Underdog,,,,,
WAS,73,72,CONN,71,86,144,-2,Away,8/7/2015,2015,Home,Home,Over,Underdog,Underdog,,,,,
ATL,74.5,77,IND,83,106,157.5,-8.5,Home,8/7/2015,2015,Home,Home,Over,Favorite,Favorite,,,,,
MIN,75.25,66,PHO,73.75,73,149,-1.5,Away,8/7/2015,2015,Home,Home,Under,Underdog,Underdog,,,,,
ATL,74.5,77,IND,83,106,157.5,-8.5,Home,8/7/2015,2015,Home,Home,Over,Favorite,Favorite,,,,,
SEA,71.5,81,SA,76,88,147.5,-4.5,Home,8/8/2015,2015,Home,Home,Over,Favorite,Favorite,,,,,
PHO,78.5,64,CHI,82,74,160.5,-3.5,Home,8/9/2015,2015,Home,Home,Under,Favorite,Favorite,,,,,
ATL,76.25,98,TUL,83.25,90,159.5,-7,Home,8/9/2015,2015,Away,Away,Over,Underdog,Underdog,,,,,
PHO,78.5,64,CHI,82,74,160.5,-3.5,Home,8/9/2015,2015,Home,Home,Under,Favorite,Favorite,,,,,
CONN,68.75,73,WAS,75.75,84,144.5,-7,Home,8/9/2015,2015,Home,Home,Over,Favorite,Favorite,,,,,
LOS,72,64,MIN,77.5,72,149.5,-5.5,Home,8/9/2015,2015,Home,Home,Under,Favorite,Favorite,,,,,
CONN,68.75,73,WAS,75.75,84,144.5,-7,Home,8/9/2015,2015,Home,Home,Over,Favorite,Favorite,,,,,
CHI,73,63,NEW,79.5,84,152.5,-6.5,Home,8/11/2015,2015,Home,Home,Under,Favorite,Favorite,,,,,
SA,67.5,76,MIN,81,83,148.5,-13.5,Home,8/11/2015,2015,Home,Away,Over,Favorite,Underdog,,,,,
CHI,73,63,NEW,79.5,84,152.5,-6.5,Home,8/11/2015,2015,Home,Home,Under,Favorite,Favorite,,,,,
IND,74.25,73,WAS,77.75,62,152,-3.5,Home,8/11/2015,2015,Away,Away,Under,Underdog,Underdog,,,,,
SEA,67.75,85,LOS,80.25,77,148,-12.5,Home,8/11/2015,2015,Away,Away,Over,Underdog,Underdog,Front,,,,
IND,74.25,73,WAS,77.75,62,152,-3.5,Home,8/11/2015,2015,Away,Away,Under,Underdog,Underdog,,,,,
TUL,74.5,74,CONN,78,80,152.5,-3.5,Home,8/12/2015,2015,Home,Home,Over,Favorite,Favorite,,,,,
SEA,67,66,PHO,80.5,83,147.5,-13.5,Home,8/12/2015,2015,Home,Home,Over,Favorite,Favorite,Back,,,,
NEW,75.25,90,CONN,70.25,78,145.5,-5,Away,8/14/2015,2015,Away,Away,Over,Favorite,Favorite,,,,,
CHI,82.25,94,SEA,76.25,84,158.5,-6,Away,8/14/2015,2015,Away,Away,Over,Favorite,Favorite,,,,,
NEW,75.25,90,CONN,70.25,78,145.5,-5,Away,8/14/2015,2015,Away,Away,Over,Favorite,Favorite,,,,,
MIN,82.75,84,ATL,74.75,82,157.5,-8,Away,8/14/2015,2015,Away,Home,Over,Favorite,Underdog,,,,,
TUL,71,81,NEW,79,76,150,-8,Home,8/15/2015,2015,Away,Away,Over,Underdog,Underdog,,Back,,,
CONN,77.75,77,ATL,81.25,90,159,-3.5,Home,8/16/2015,2015,Home,Home,Over,Favorite,Favorite,,,,,
CHI,79,64,LOS,83,76,162,-4,Home,8/16/2015,2015,Home,Home,Under,Favorite,Favorite,,,,,
SA,75.25,63,SEA,77.75,72,153,-2.5,Home,8/16/2015,2015,Home,Home,Under,Favorite,Favorite,,,,,
MIN,75.5,69,WAS,71.5,77,147,-4,Away,8/16/2015,2015,Home,Home,Under,Underdog,Underdog,,,,,
IND,73.5,75,PHO,79,63,152.5,-5.5,Home,8/16/2015,2015,Away,Away,Under,Underdog,Underdog,,,,,
MIN,75.5,69,WAS,71.5,77,147,-4,Away,8/16/2015,2015,Home,Home,Under,Underdog,Underdog,,,,,
PHO,78,59,TUL,73.5,74,151.5,-4.5,Away,8/18/2015,2015,Home,Home,Under,Underdog,Underdog,,,,,
IND,74.25,79,LOS,78.25,68,152.5,-4,Home,8/18/2015,2015,Away,Away,Under,Underdog,Underdog,,,,,
NEW,76.75,73,SA,70.25,45,147,-6.5,Away,8/19/2015,2015,Away,Away,Under,Favorite,Favorite,,,,,
WAS,68.5,79,MIN,78.5,61,147,-10,Home,8/19/2015,2015,Away,Away,Under,Underdog,Underdog,,,,,
ATL,72.5,67,NEW,82.5,78,155,-10,Home,8/21/2015,2015,Home,Home,Under,Favorite,Favorite,,,,,
MIN,78.5,78,SA,70.5,61,149,-8,Away,8/21/2015,2015,Away,Away,Under,Favorite,Favorite,,,,,
IND,78.75,75,SEA,72.75,63,151.5,-6,Away,8/21/2015,2015,Away,Away,Under,Favorite,Favorite,,,,,
CONN,74.75,85,TUL,80.25,87,155,-5.5,Home,8/21/2015,2015,Home,Away,Over,Favorite,Underdog,,,,,
WAS,74.5,85,CHI,80,87,154.5,-5.5,Home,8/21/2015,2015,Home,Away,Over,Favorite,Underdog,,,,,
LOS,70,78,PHO,75,68,145,-5,Home,8/21/2015,2015,Away,Away,Over,Underdog,Underdog,,,,,
CHI,76.75,66,WAS,79.25,64,156,-2.5,Home,8/23/2015,2015,Away,Away,Under,Underdog,Underdog,,,,,
MIN,73.75,67,PHO,72.75,79,146.5,-1,Away,8/23/2015,2015,Home,Home,Under,Underdog,Underdog,,,,,
ATL,79.5,102,CONN,77,92,156.5,-2.5,Away,8/23/2015,2015,Away,Away,Over,Favorite,Favorite,,,,,
LOS,76,90,SA,71,59,147,-5,Away,8/23/2015,2015,Away,Away,Over,Favorite,Favorite,,,,,
NEW,73,79,IND,75,80,148,-2,Home,8/23/2015,2015,Home,Away,Over,Favorite,Underdog,,,,,
LOS,76,90,SA,71,59,147,-5,Away,8/23/2015,2015,Away,Away,Over,Favorite,Favorite,,,,,
CONN,76.25,57,ATL,83.75,71,160,-7.5,Home,8/25/2015,2015,Home,Home,Under,Favorite,Favorite,,,,,
LOS,74,81,IND,78,79,152,-4,Home,8/26/2015,2015,Away,Away,Over,Underdog,Underdog,,,,,
PHO,78,81,CONN,70.5,80,148.5,-7.5,Away,8/27/2015,2015,Away,Home,Over,Favorite,Underdog,Front,,,,
PHO,69.5,63,WAS,74,71,143.5,-4.5,Home,8/28/2015,2015,Home,Home,Under,Favorite,Favorite,Back,,,,
MIN,71.75,68,NEW,75.25,81,147,-3.5,Home,8/28/2015,2015,Home,Home,Over,Favorite,Favorite,,Front,,,
SA,72.75,69,SEA,76.75,83,149.5,-4,Home,8/28/2015,2015,Home,Home,Over,Favorite,Favorite,,,,,
ATL,76.75,90,IND,84.75,84,161.5,-8,Home,8/28/2015,2015,Away,Away,Over,Underdog,Underdog,,,,,
LOS,77.75,66,TUL,76.25,76,154,-1.5,Away,8/28/2015,2015,Home,Home,Under,Underdog,Underdog,,,,,
ATL,76.75,90,IND,84.75,84,161.5,-8,Home,8/28/2015,2015,Away,Away,Over,Underdog,Underdog,,,,,
NEW,77.75,80,CONN,70.75,66,148.5,-7,Away,8/29/2015,2015,Away,Away,Under,Favorite,Favorite,Back,Front,,,
CHI,82,98,ATL,80,96,162,-2,Away,8/29/2015,2015,Away,Push,Over,Favorite,Underdog,Front,Back,,,
IND,77.75,70,TUL,79.25,76,157,-1.5,Home,8/30/2015,2015,Home,Home,Under,Favorite,Favorite,,,,,
CONN,73.5,72,CHI,82.5,68,156,-9,Home,8/30/2015,2015,Away,Away,Under,Underdog,Underdog,Back,Back,,,
WAS,75,59,SEA,70.5,69,145.5,-4.5,Away,8/30/2015,2015,Home,Home,Under,Underdog,Underdog,,,,,
PHO,69,61,MIN,76,71,145,-7,Home,8/30/2015,2015,Home,Home,Under,Favorite,Favorite,,,,,
SA,68.75,52,LOS,80.25,60,149,-11.5,Home,8/30/2015,2015,Home,Away,Under,Favorite,Underdog,,,,,
PHO,69,61,MIN,76,71,145,-7,Home,8/30/2015,2015,Home,Home,Under,Favorite,Favorite,,,,,
CONN,71,51,IND,81,81,152,-10,Home,9/1/2015,2015,Home,Home,Under,Favorite,Favorite,,,,,
WAS,69.25,53,PHO,73.25,73,142.5,-4,Home,9/2/2015,2015,Home,Home,Under,Favorite,Favorite,Front,,,,
CHI,73,82,NEW,79,60,152,-6,Home,9/3/2015,2015,Away,Away,Under,Underdog,Underdog,,,,,
WAS,67.5,91,LOS,74,93,141.5,-6.5,Home,9/3/2015,2015,Home,Away,Over,Favorite,Underdog,Back,,,,
CHI,73,82,NEW,79,60,152,-6,Home,9/3/2015,2015,Away,Away,Under,Underdog,Underdog,,,,,
TUL,72.5,85,SEA,76,67,148.5,-3.5,Home,9/3/2015,2015,Away,Away,Over,Underdog,Underdog,,,,,
IND,72.5,65,MIN,76.5,81,149,-4,Home,9/4/2015,2015,Home,Home,Under,Favorite,Favorite,,,,,
CONN,71.25,73,SA,75.75,72,147,-4.5,Home,9/4/2015,2015,Away,Away,Under,Underdog,Underdog,,Front,,,
PHO,74.75,82,SA,67.75,52,142.5,-7,Away,9/5/2015,2015,Away,Away,Under,Favorite,Favorite,,Back,,,
WAS,75.25,67,ATL,77.75,73,153,-2.5,Home,9/6/2015,2015,Home,Home,Under,Favorite,Favorite,,,,,
SEA,73,65,CHI,82.5,93,155.5,-9.5,Home,9/6/2015,2015,Home,Home,Over,Favorite,Favorite,,,,,
WAS,75.25,67,ATL,77.75,73,153,-2.5,Home,9/6/2015,2015,Home,Home,Under,Favorite,Favorite,,,,,
TUL,72.25,73,LOS,79.75,92,152,-7.5,Home,9/6/2015,2015,Home,Home,Over,Favorite,Favorite,,,,,
NEW,71.25,75,MIN,73.75,71,145,-2.5,Home,9/6/2015,2015,Away,Away,Over,Underdog,Underdog,,,,,
TUL,72.25,73,LOS,79.75,92,152,-7.5,Home,9/6/2015,2015,Home,Home,Over,Favorite,Favorite,,,,,
IND,71.75,64,WAS,73.75,74,145.5,-2,Home,9/8/2015,2015,Home,Home,Under,Favorite,Favorite,,,,,
SA,69.75,64,TUL,79.75,74,149.5,-10,Home,9/8/2015,2015,Home,Push,Under,Favorite,Underdog,,,,,
IND,71.75,64,WAS,73.75,74,145.5,-2,Home,9/8/2015,2015,Home,Home,Under,Favorite,Favorite,,,,,
SEA,67,67,MIN,79,73,146,-12,Home,9/8/2015,2015,Home,Away,Under,Favorite,Underdog,,,,,
LOS,76.75,60,ATL,80.75,90,157.5,-4,Home,9/9/2015,2015,Home,Home,Under,Favorite,Favorite,,,,,
CONN,66.75,64,NEW,79.25,74,146,-12.5,Home,9/9/2015,2015,Home,Away,Under,Favorite,Underdog,,,,,
IND,76.25,75,ATL,81.75,67,158,-5.5,Home,9/11/2015,2015,Away,Away,Under,Underdog,Underdog,,,,,
TUL,76.5,71,CHI,82.5,92,159,-6,Home,9/11/2015,2015,Home,Home,Over,Favorite,Favorite,,,,,
MIN,75,64,SEA,71.5,78,146.5,-3.5,Away,9/11/2015,2015,Home,Home,Under,Underdog,Underdog,,,,,
WAS,69,82,NEW,73,55,142,-4,Home,9/11/2015,2015,Away,Away,Under,Underdog,Underdog,,,,,
LOS,69.5,65,PHO,75,70,144.5,-5.5,Home,9/11/2015,2015,Home,Away,Under,Favorite,Underdog,,,,,
WAS,69,82,NEW,73,55,142,-4,Home,9/11/2015,2015,Away,Away,Under,Underdog,Underdog,,,,,
CHI,80.5,75,CONN,76.5,86,157,-4,Away,9/13/2015,2015,Home,Home,Over,Underdog,Underdog,,,,,
PHO,73,87,TUL,76.5,91,149.5,-3.5,Home,9/13/2015,2015,Home,Home,Over,Favorite,Favorite,,,,,
SA,69,59,SEA,76.5,58,145.5,-7.5,Home,9/13/2015,2015,Away,Away,Under,Underdog,Underdog,,,,,
ATL,74,73,WAS,78,71,152,-4,Home,9/13/2015,2015,Away,Away,Under,Underdog,Underdog,,,,,
NEW,72,76,IND,77.5,81,149.5,-5.5,Home,9/13/2015,2015,Home,Away,Over,Favorite,Underdog,,,,,
ATL,74,73,WAS,78,71,152,-4,Home,9/13/2015,2015,Away,Away,Under,Underdog,Underdog,,,,,
IND,77.25,72,CHI,82.25,77,159.5,-5,Home,9/17/2015,2015,Home,Push,Under,Favorite,Underdog,,,,,
TUL,71,55,PHO,78,88,149,-7,Home,9/17/2015,2015,Home,Home,Under,Favorite,Favorite,,,,,
LOS,70.5,65,MIN,76,67,146.5,-5.5,Home,9/18/2015,2015,Home,Away,Under,Favorite,Underdog,,,,,
CHI,77,82,IND,80.5,89,157.5,-3.5,Home,9/19/2015,2015,Home,Home,Over,Favorite,Favorite,,,,,
PHO,76.5,91,TUL,72.5,67,149,-4,Away,9/19/2015,2015,Away,Away,Over,Favorite,Favorite,,,,,
NEW,70.75,86,WAS,69.25,68,140,-1.5,Away,9/20/2015,2015,Away,Away,Over,Favorite,Favorite,,,,,
MIN,71.25,71,LOS,74.25,81,145.5,-3,Home,9/20/2015,2015,Home,Home,Over,Favorite,Favorite,,,,,
IND,77.5,100,CHI,82,89,159.5,-4.5,Home,9/21/2015,2015,Away,Away,Over,Underdog,Underdog,,,,,
WAS,67.75,74,NEW,73.75,79,141.5,-6,Home,9/22/2015,2015,Home,Away,Over,Favorite,Underdog,,Front,,,
LOS,70.75,80,MIN,75.25,91,146,-4.5,Home,9/22/2015,2015,Home,Home,Over,Favorite,Favorite,,,,,
IND,73.5,67,NEW,75.5,84,149,-2,Home,9/23/2015,2015,Home,Home,Over,Favorite,Favorite,,Back,,,
PHO,70.25,60,MIN,75.25,67,145.5,-5,Home,9/24/2015,2015,Home,Home,Under,Favorite,Favorite,,,,,
IND,71.75,70,NEW,75.75,64,147.5,-4,Home,9/27/2015,2015,Away,Away,Under,Underdog,Underdog,,,,,
MIN,70.75,72,PHO,72.75,71,143.5,-2,Home,9/27/2015,2015,Away,Away,Under,Underdog,Underdog,,,,,
