Away,AwayProjectedTotal,AwayScore,Home,HomeProjectedTotal,HomeScore,OU,Line,Favorite,Date,Season,Winner,LineWinner,OverUnder,WinnerFavorite,LineWinnerFavorite,AwayBack2Back,HomeBack2Back,,,
CHI,78.75,73,NEW,76.75,69,155.5,-2,Away,6/27/2014,2014,Away,Away,Under,Favorite,Favorite,,,,,
CONN,73,63,WAS,76.5,69,149.5,-3.5,Home,6/27/2014,2014,Home,Home,Under,Favorite,Favorite,,,,,
MIN,77.5,71,SEA,71,81,148.5,-6.5,Away,6/27/2014,2014,Home,Home,Over,Underdog,Underdog,,,,,
PHO,82,81,IND,76.5,76,158.5,-5.5,Away,6/27/2014,2014,Away,Home,Under,Favorite,Underdog,,,,,
ATL,79.75,76,IND,76.75,68,156.5,-3,Away,6/29/2014,2014,Away,Away,Under,Favorite,Favorite,,,,,
CONN,73.5,65,NEW,76.5,67,150,-3,Home,6/29/2014,2014,Home,Away,Under,Favorite,Underdog,,,,,
PHO,84.75,80,TUL,80.25,77,165,-4.5,Away,6/29/2014,2014,Away,Home,Under,Favorite,Underdog,,,,,
SA,73.25,73,WAS,75.75,65,149,-2.5,Home,6/29/2014,2014,Away,Away,Under,Underdog,Underdog,,,,,
SEA,69.5,69,MIN,78.5,74,148,-9,Home,6/29/2014,2014,Home,Away,Under,Favorite,Underdog,,,,,
CHI,75.5,90,LOS,82,83,157.5,-6.5,Home,7/1/2014,2014,Away,Away,Over,Underdog,Underdog,Front,,,,
IND,73.5,77,ATL,81,70,154.5,-7.5,Home,7/1/2014,2014,Away,Away,Under,Underdog,Underdog,Front,,,,
SA,74.5,74,CONN,78.5,71,153,-4,Home,7/1/2014,2014,Away,Away,Under,Underdog,Underdog,,,,,
TUL,77,74,NEW,79.5,90,156.5,-2.5,Home,7/1/2014,2014,Home,Home,Over,Favorite,Favorite,,,,,
CHI,76.25,69,PHO,85.75,87,162,-9.5,Home,7/2/2014,2014,Home,Home,Under,Favorite,Favorite,Back,,,,
IND,70,80,WAS,74,77,144,-4,Home,7/2/2014,2014,Away,Away,Over,Underdog,Underdog,Back,,,,
LOS,75,70,SEA,73,56,148,-2,Away,7/3/2014,2014,Away,Away,Under,Favorite,Favorite,,,,,
SA,74.5,84,MIN,82.5,91,157,-8,Home,7/3/2014,2014,Home,Away,Over,Favorite,Underdog,,,,,
TUL,78.25,96,CONN,82.25,83,160.5,-4,Home,7/3/2014,2014,Away,Away,Over,Underdog,Underdog,,,,,
CHI,72.25,73,SEA,74.75,80,147,-2.5,Home,7/5/2014,2014,Home,Home,Over,Favorite,Favorite,,,,,
CONN,80.25,78,TUL,83.75,76,164,-3.5,Home,7/5/2014,2014,Away,Away,Under,Underdog,Underdog,,,,,
SA,73.25,71,IND,77.25,70,150.5,-4,Home,7/5/2014,2014,Away,Away,Under,Underdog,Underdog,,,,,
WAS,73.25,73,ATL,81.75,86,155,-8.5,Home,7/5/2014,2014,Home,Home,Over,Favorite,Favorite,,,,,
MIN,79,80,NEW,75,87,154,-4,Away,7/6/2014,2014,Home,Home,Over,Underdog,Underdog,,,,,
PHO,81,94,LOS,79.5,89,160.5,-1.5,Away,7/6/2014,2014,Away,Away,Over,Favorite,Favorite,,,,,
CONN,75.5,71,ATL,84.5,83,160,-9,Home,7/8/2014,2014,Home,Home,Under,Favorite,Favorite,,,,,
IND,77,78,TUL,78,76,155,-1,Home,7/8/2014,2014,Away,Away,Under,Underdog,Underdog,,,,,
LOS,79.5,72,MIN,83.5,83,163,-4,Home,7/8/2014,2014,Home,Home,Under,Favorite,Favorite,,,,,
NEW,74.5,66,SA,78.5,80,153,-4,Home,7/9/2014,2014,Home,Home,Under,Favorite,Favorite,,,,,
SEA,71.25,58,PHO,81.25,78,152.5,-10,Home,7/9/2014,2014,Home,Home,Under,Favorite,Favorite,,,,,
WAS,75.5,72,CHI,79,65,154.5,-3.5,Home,7/9/2014,2014,Away,Away,Under,Underdog,Underdog,,,,,
CONN,72.25,68,IND,77.75,72,150,-5.5,Home,7/10/2014,2014,Home,Away,Under,Favorite,Underdog,,,,,
MIN,84.25,91,TUL,81.25,85,165.5,-3,Away,7/10/2014,2014,Away,Away,Over,Favorite,Favorite,,,,,
LOS,79.75,68,NEW,75.75,54,155.5,-4,Away,7/11/2014,2014,Away,Away,Under,Favorite,Favorite,,,,,
PHO,83.75,72,CHI,78.25,66,162,-5.5,Away,7/11/2014,2014,Away,Away,Under,Favorite,Favorite,,,,,
SEA,70.5,88,SA,75.5,67,146,-5,Home,7/11/2014,2014,Away,Away,Over,Underdog,Underdog,,,,,
ATL,77.5,93,IND,76,74,153.5,-1.5,Away,7/12/2014,2014,Away,Away,Over,Favorite,Favorite,,,,,
WAS,76.25,91,TUL,79.75,74,156,-3.5,Home,7/12/2014,2014,Away,Away,Over,Underdog,Underdog,,,,,
LOS,79.5,90,CONN,75.5,64,155,-4,Away,7/13/2014,2014,Away,Away,Under,Favorite,Favorite,,,,,
SA,75.25,61,PHO,83.75,90,159,-8.5,Home,7/13/2014,2014,Home,Home,Under,Favorite,Favorite,,,,,
SEA,70.25,60,MIN,78.25,77,148.5,-8,Home,7/13/2014,2014,Home,Home,Under,Favorite,Favorite,,,,,
CONN,69.25,86,SEA,72.75,63,142,-3.5,Home,7/15/2014,2014,Away,Away,Over,Underdog,Underdog,,,,,
LOS,76.5,86,IND,74,78,150.5,-2.5,Away,7/15/2014,2014,Away,Away,Over,Favorite,Favorite,,,,,
WAS,73.25,78,PHO,83.75,90,157,-10.5,Home,7/15/2014,2014,Home,Home,Over,Favorite,Favorite,,,,,
ATL,80,75,NEW,74.5,77,154.5,-5.5,Away,7/16/2014,2014,Home,Home,Under,Underdog,Underdog,,,,,
TUL,79,82,MIN,87.5,93,166.5,-8.5,Home,7/16/2014,2014,Home,Home,Over,Favorite,Favorite,Front,,,,
CHI,73,64,IND,78,82,151,-5,Home,7/17/2014,2014,Home,Home,Under,Favorite,Favorite,,,,,
CONN,74.75,85,PHO,86.25,101,161,-11.5,Home,7/17/2014,2014,Home,Home,Over,Favorite,Favorite,,,,,
SA,79.75,90,TUL,81.25,95,161,-1.5,Home,7/17/2014,2014,Home,Home,Over,Favorite,Favorite,,Back,,,
WAS,73.75,79,LOS,81.25,75,155,-7.5,Home,7/17/2014,2014,Away,Away,Under,Underdog,Underdog,,,,,
IND,76.75,57,CHI,73.25,60,150,-3.5,Away,7/22/2014,2014,Home,Home,Under,Underdog,Underdog,,,,,
PHO,79,89,SEA,72.5,71,151.5,-6.5,Away,7/22/2014,2014,Away,Away,Over,Favorite,Favorite,,,,,
TUL,79.25,93,SA,83.25,95,162.5,-4,Home,7/22/2014,2014,Home,Away,Over,Favorite,Underdog,,,,,
CONN,72.5,75,WAS,76.5,89,149,-4,Home,7/23/2014,2014,Home,Home,Over,Favorite,Favorite,,,,,
NEW,72.75,66,LOS,80.25,64,153,-7.5,Home,7/23/2014,2014,Away,Away,Under,Underdog,Underdog,,Front,,,
PHO,85.25,93,LOS,79.75,73,165,-5.5,Away,7/24/2014,2014,Away,Away,Over,Favorite,Favorite,,Back,,,
CHI,75.5,79,ATL,84.5,75,160,-9,Home,7/25/2014,2014,Away,Away,Under,Underdog,Underdog,,,,,
SA,76.75,78,MIN,85.25,88,162,-8.5,Home,7/25/2014,2014,Home,Home,Over,Favorite,Favorite,Front,,,,
TUL,77.75,77,WAS,82.75,82,160.5,-5,Home,7/25/2014,2014,Home,Push,Under,Favorite,Underdog,,,,,
IND,74,75,SA,75.5,68,149.5,-1.5,Home,7/26/2014,2014,Away,Away,Under,Underdog,Underdog,,Back,,,
LOS,77,77,SEA,72,69,149,-5,Away,7/26/2014,2014,Away,Away,Under,Favorite,Favorite,,,,,
NEW,73.5,63,PHO,85.5,78,159,-12,Home,7/26/2014,2014,Home,Home,Under,Favorite,Favorite,,,,,
ATL,80,67,WAS,77,77,157,-3,Away,7/27/2014,2014,Home,Home,Under,Underdog,Underdog,,,,,
CHI,80.25,69,TUL,82.25,79,162.5,-2,Home,7/27/2014,2014,Home,Home,Under,Favorite,Favorite,,,,,
MIN,83.5,76,CONN,78,65,161.5,-5.5,Away,7/27/2014,2014,Away,Away,Under,Favorite,Favorite,,,,,
IND,72.25,73,LOS,76.75,77,149,-4.5,Home,7/28/2014,2014,Home,Away,Over,Favorite,Underdog,,Front,,,
CHI,74.25,74,SA,78.25,92,152.5,-4,Home,7/29/2014,2014,Home,Home,Over,Favorite,Favorite,,,,,
CONN,73.75,80,ATL,82.75,89,156.5,-9,Home,7/29/2014,2014,Home,Push,Over,Favorite,Underdog,,,,,
LOS,75.75,69,PHO,87.75,90,163.5,-12,Home,7/29/2014,2014,Home,Home,Under,Favorite,Favorite,Back,,,,
SEA,74,74,TUL,78.5,80,152.5,-4.5,Home,7/29/2014,2014,Home,Home,Over,Favorite,Favorite,,,,,
WAS,72.25,74,NEW,75.25,92,147.5,-3,Home,7/29/2014,2014,Home,Home,Over,Favorite,Favorite,,,,,
ATL,84.25,85,TUL,81.25,75,165.5,-3,Away,7/31/2014,2014,Away,Away,Under,Favorite,Favorite,,,,,
IND,72.5,76,SEA,69.5,67,142,-3,Away,7/31/2014,2014,Away,Away,Over,Favorite,Favorite,,,,,
NEW,73,74,CHI,76.5,87,149.5,-3.5,Home,7/31/2014,2014,Home,Home,Over,Favorite,Favorite,,,,,
PHO,82.5,67,MIN,84.5,75,167,-2,Home,7/31/2014,2014,Home,Home,Under,Favorite,Favorite,,,,,
CONN,75.5,89,SA,80.5,79,156,-5,Home,8/1/2014,2014,Away,Away,Over,Underdog,Underdog,,,,,
IND,71.75,69,PHO,82.75,79,154.5,-11,Home,8/2/2014,2014,Home,Away,Under,Favorite,Underdog,,,,,
MIN,86.75,84,TUL,79.75,75,166.5,-7,Away,8/2/2014,2014,Away,Away,Under,Favorite,Favorite,,,,,
CONN,74,69,LOS,82,70,156,-8,Home,8/3/2014,2014,Home,Away,Under,Favorite,Underdog,,,,,
NEW,74,83,ATL,82,76,156,-8,Home,8/3/2014,2014,Away,Away,Over,Underdog,Underdog,,,,,
SA,74.5,65,SEA,74.5,71,149,PK,Pick,8/3/2014,2014,Home,,Under,,,,,,,
WAS,74.25,65,CHI,78.75,76,153,-4.5,Home,8/3/2014,2014,Home,Home,Under,Favorite,Favorite,,,,,
ATL,77.75,67,PHO,87.75,75,165.5,-10,Home,8/5/2014,2014,Home,Away,Under,Favorite,Underdog,,,,,
CHI,79.25,82,CONN,75.25,66,154.5,-4,Away,8/5/2014,2014,Away,Away,Under,Favorite,Favorite,,,,,
MIN,78.75,66,IND,74.25,64,153,-4.5,Away,8/5/2014,2014,Away,Home,Under,Favorite,Underdog,,,,,
NEW,71.5,46,WAS,75,79,146.5,-3.5,Home,8/5/2014,2014,Home,Home,Under,Favorite,Favorite,,,,,
TUL,77.5,96,LOS,84,90,161.5,-6.5,Home,8/5/2014,2014,Away,Away,Over,Underdog,Underdog,,,,,
ATL,78.5,68,SEA,73,88,151.5,-5.5,Away,8/7/2014,2014,Home,Home,Over,Underdog,Underdog,,,,,
CHI,75.5,64,MIN,84,74,159.5,-8.5,Home,8/7/2014,2014,Home,Home,Under,Favorite,Favorite,,,,,
PHO,84.25,68,SA,75.75,88,160,-8.5,Away,8/7/2014,2014,Home,Home,Under,Underdog,Underdog,,Front,,,
CONN,72.25,66,NEW,76.75,71,149,-4.5,Home,8/8/2014,2014,Home,Home,Under,Favorite,Favorite,,,,,
SA,80,62,TUL,84,79,164,-4,Home,8/8/2014,2014,Home,Home,Under,Favorite,Favorite,Back,,,,
WAS,69,74,IND,74,61,143,-5,Home,8/8/2014,2014,Away,Away,Under,Underdog,Underdog,,,,,
MIN,77,80,PHO,82,82,159,-5,Home,8/9/2014,2014,Home,Away,Over,Favorite,Underdog,,,,,
ATL,74.75,69,CHI,80.75,80,155.5,-6,Home,8/10/2014,2014,Home,Home,Under,Favorite,Favorite,,,,,
IND,70.75,90,NEW,70.75,76,141.5,PK,Pick,8/10/2014,2014,Away,,Over,,,,,,,
LOS,78.5,76,SA,76,82,154.5,-2.5,Away,8/10/2014,2014,Home,Home,Over,Underdog,Underdog,,,,,
TUL,74.75,68,SEA,78.25,74,153,-3.5,Home,8/10/2014,2014,Home,Home,Under,Favorite,Favorite,,,,,
WAS,74.75,69,CONN,71.75,80,146.5,-3,Away,8/10/2014,2014,Home,Home,Over,Underdog,Underdog,,,,,
LOS,75.75,71,MIN,83.75,63,159.5,-8,Home,8/12/2014,2014,Away,Away,Under,Underdog,Underdog,,,,,
PHO,79.5,76,NEW,73.5,64,153,-6,Away,8/12/2014,2014,Away,Away,Under,Favorite,Favorite,Front,,,,
CHI,75.25,72,WAS,72.25,69,147.5,-3,Away,8/13/2014,2014,Away,Push,Under,Favorite,Underdog,,,,,
PHO,79,82,ATL,77.5,96,156.5,-1.5,Away,8/13/2014,2014,Home,Home,Over,Underdog,Underdog,Back,,,,
NEW,68,63,IND,74,76,142,-6,Home,8/14/2014,2014,Home,Home,Under,Favorite,Favorite,,,,,
MIN,78.25,76,SA,76.75,92,155,-1.5,Away,8/15/2014,2014,Home,Home,Over,Underdog,Underdog,,,,,
SEA,69.75,65,LOS,76.25,77,146,-6.5,Home,8/15/2014,2014,Home,Home,Under,Favorite,Favorite,,Front,,,
TUL,79,76,ATL,85,92,164,-6,Home,8/15/2014,2014,Home,Home,Over,Favorite,Favorite,,,,,
WAS,75.5,71,CONN,70,67,145.5,-5.5,Away,8/15/2014,2014,Away,Home,Under,Favorite,Underdog,Front,,,,
CHI,71.25,67,IND,74.75,71,146,-3.5,Home,8/16/2014,2014,Home,Home,Under,Favorite,Favorite,Front,Front,,,
LOS,74.25,69,PHO,82.75,76,157,-8.5,Home,8/16/2014,2014,Home,Away,Under,Favorite,Underdog,Back,Front,,,
NEW,68.5,73,WAS,74.5,61,143,-6,Home,8/16/2014,2014,Away,Away,Under,Underdog,Underdog,Front,Back,,,
