Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,AvgPointsPerGame,AvgPointsPerGame,AvgPointsPerGame,AvgPointsPerGame,AvgPointsPerGame,AvgPointsPerGame,AvgPointsPerGame,AvgPointsPerGame
G,Patrick Reed (13309638),Patrick Reed,13309638,G,11600,KLM Open,Golf,81.84286027,Lee Westwood(13309645),Bradley Dredge(13309680),Matthew Southgate(13309669),Antoine Rozner(13309701),Mike Lorenzo-Vera(13309644),Gavin Green(13309648),49900,371.227
G,Thomas Pieters (13309639),Thomas Pieters,13309639,G,11100,KLM Open,Golf,75.23075113,Lee Westwood(13309645),Bradley Dredge(13309680),Antoine Rozner(13309701),Mike Lorenzo-Vera(13309644),Gavin Green(13309648),Sean Crocker(13309665),50000,371.03
G,Matt Wallace (13309640),Matt Wallace,13309640,G,10700,KLM Open,Golf,71.77863749,Lee Westwood(13309645),Bradley Dredge(13309680),Antoine Rozner(13309701),Mike Lorenzo-Vera(13309644),Gavin Green(13309648),Ashley Chesters(13309667),50000,370.958
G,Sergio Garcia (13309641),Sergio Garcia,13309641,G,10500,KLM Open,Golf,73.54823292,Lee Westwood(13309645),Bradley Dredge(13309680),Romain Wattel(13309658),Thomas Detry(13309646),Antoine Rozner(13309701),Gavin Green(13309648),49900,370.112
G,Martin Kaymer (13309642),Martin Kaymer,13309642,G,10200,KLM Open,Golf,72.78510005,Lee Westwood(13309645),Bradley Dredge(13309680),Matthew Southgate(13309669),Mike Lorenzo-Vera(13309644),Louis De(13309694),Gavin Green(13309648),50000,369.967
G,Joost Luiten (13309643),Joost Luiten,13309643,G,9800,KLM Open,Golf,71.37926105,Lee Westwood(13309645),Bradley Dredge(13309680),Thomas Detry(13309646),Antoine Rozner(13309701),Gavin Green(13309648),George Coetzee(13309657),50000,369.888
G,Mike Lorenzo-Vera (13309644),Mike Lorenzo-Vera,13309644,G,9600,KLM Open,Golf,70.80346712,Lee Westwood(13309645),Bradley Dredge(13309680),Gavin Green(13309648),Antoine Rozner(13309701),Mike Lorenzo-Vera(13309644),Wu Ashun(13309666),50000,369.884
G,Lee Westwood (13309645),Lee Westwood,13309645,G,9400,KLM Open,Golf,70.76505295,Lee Westwood(13309645),Bradley Dredge(13309680),Romain Wattel(13309658),Matthew Southgate(13309669),Mike Lorenzo-Vera(13309644),George Coetzee(13309657),50000,369.541
G,Thomas Detry (13309646),Thomas Detry,13309646,G,9200,KLM Open,Golf,66.65205746,Lee Westwood(13309645),Bradley Dredge(13309680),Thomas Detry(13309646),Antoine Rozner(13309701),Mike Lorenzo-Vera(13309644),Chris Paisley(13309675),50000,369.479
G,Sam Horsfield (13309647),Sam Horsfield,13309647,G,9100,KLM Open,Golf,63.18007286,Lee Westwood(13309645),Bradley Dredge(13309680),Matthew Southgate(13309669),Antoine Rozner(13309701),Mike Lorenzo-Vera(13309644),Sam Horsfield(13309647),50000,369.246
G,Gavin Green (13309648),Gavin Green,13309648,G,9000,KLM Open,Golf,65.16054769,Lee Westwood(13309645),Bradley Dredge(13309680),Romain Wattel(13309658),Thomas Detry(13309646),Louis De(13309694),Gavin Green(13309648),50000,368.852
G,Troy Merritt (13309649),Troy Merritt,13309649,G,8900,KLM Open,Golf,61.41445554,Lee Westwood(13309645),Bradley Dredge(13309680),Romain Wattel(13309658),Jorge Campillo(13309651),Antoine Rozner(13309701),Mike Lorenzo-Vera(13309644),50000,368.829
G,Haydn Porteous (13309650),Haydn Porteous,13309650,G,8800,KLM Open,Golf,58.73841798,Joost Luiten(13309643),Bradley Dredge(13309680),Antoine Rozner(13309701),Lee Westwood(13309645),Chris Paisley(13309675),Gavin Green(13309648),50000,368.563
G,Jorge Campillo (13309651),Jorge Campillo,13309651,G,8700,KLM Open,Golf,59.7260682,Lee Westwood(13309645),Bradley Dredge(13309680),Bernd Ritthammer(13309678),Thomas Detry(13309646),Antoine Rozner(13309701),Mike Lorenzo-Vera(13309644),49900,368.365
G,Sebastian Soderberg (13309652),Sebastian Soderberg,13309652,G,8600,KLM Open,Golf,58.25884963,Lee Westwood(13309645),Bradley Dredge(13309680),Paul Dunne(13309693),Matthew Southgate(13309669),Mike Lorenzo-Vera(13309644),Gavin Green(13309648),50000,368.358
